name,team,mlbam,batter_hand,throws_hand,source
Munetaka Murakami,Chicago White Sox,808959,L,R,MLB_STATS_API
Nasim Nuñez,Washington Nationals,683083,S,R,MLB_STATS_API
Nathan Church,St. Louis Cardinals,701675,L,L,MLB_STATS_API
Nick Fortes,Tampa Bay Rays,663743,R,R,MLB_STATS_API
Nick Gonzales,Pittsburgh Pirates,693304,R,R,MLB_STATS_API
Nick Kurtz,Athletics,701762,L,L,MLB_STATS_API
Nick Loftin,Kansas City Royals,679845,R,R,MLB_STATS_API
Nick Yorke,Pittsburgh Pirates,694377,R,R,MLB_STATS_API
Nico Hoerner,Chicago Cubs,663538,R,R,MLB_STATS_API
Nolan Arenado,Arizona Diamondbacks,571448,R,R,MLB_STATS_API
Nolan Gorman,St. Louis Cardinals,669357,L,R,MLB_STATS_API
Oneil Cruz,Pittsburgh Pirates,665833,L,R,MLB_STATS_API
Otto Lopez,Miami Marlins,672640,R,R,MLB_STATS_API
Owen Caissie,Miami Marlins,683357,L,R,MLB_STATS_API
Ozzie Albies,Atlanta Braves,645277,S,R,MLB_STATS_API
Pedro Pagés,St. Louis Cardinals,686780,R,R,MLB_STATS_API
Pete Crow-Armstrong,Chicago Cubs,691718,L,L,MLB_STATS_API
Rafael Devers,San Francisco Giants,646240,L,R,MLB_STATS_API
Ramón Laureano,San Diego Padres,657656,R,R,MLB_STATS_API
Randy Arozarena,Seattle Mariners,668227,R,R,MLB_STATS_API
Riley Greene,Detroit Tigers,682985,L,L,MLB_STATS_API
Royce Lewis,Minnesota Twins,668904,R,R,MLB_STATS_API
Ryan Jeffers,Minnesota Twins,680777,R,R,MLB_STATS_API
Ryan O'Hearn,Pittsburgh Pirates,656811,L,L,MLB_STATS_API
Ryan Vilade,Tampa Bay Rays,668723,R,R,MLB_STATS_API
Sal Frelick,Milwaukee Brewers,686217,L,R,MLB_STATS_API
Sal Stewart,Cincinnati Reds,701398,R,R,MLB_STATS_API
Salvador Perez,Kansas City Royals,521692,R,R,MLB_STATS_API
Seiya Suzuki,Chicago Cubs,673548,R,R,MLB_STATS_API
Shea Langeliers,Athletics,669127,R,R,MLB_STATS_API
Spencer Steer,Cincinnati Reds,668715,R,R,MLB_STATS_API
Spencer Torkelson,Detroit Tigers,679529,R,R,MLB_STATS_API
Sung-Mun Song,San Diego Padres,823550,L,R,MLB_STATS_API
Taylor Walls,Tampa Bay Rays,670764,S,R,MLB_STATS_API
Teoscar Hernández,Los Angeles Dodgers,606192,R,R,MLB_STATS_API
TJ Friedl,Cincinnati Reds,670770,L,L,MLB_STATS_API
Trea Turner,Philadelphia Phillies,607208,R,R,MLB_STATS_API
Trevor Larnach,Minnesota Twins,663616,L,R,MLB_STATS_API
Trevor Story,Boston Red Sox,596115,R,R,MLB_STATS_API
Troy Johnston,Colorado Rockies,687859,L,L,MLB_STATS_API
Tyler Freeman,Colorado Rockies,671289,R,R,MLB_STATS_API
Tyler Heineman,Toronto Blue Jays,623168,S,R,MLB_STATS_API
Tyler Soderstrom,Athletics,691016,L,R,MLB_STATS_API
Tyler Stephenson,Cincinnati Reds,663886,R,R,MLB_STATS_API
Tyrone Taylor,New York Mets,621438,R,R,MLB_STATS_API
Victor Scott II,St. Louis Cardinals,687363,L,L,MLB_STATS_API
Vidal Bruján,New York Mets,660644,S,R,MLB_STATS_API
Vinnie Pasquantino,Kansas City Royals,686469,L,L,MLB_STATS_API
Vladimir Guerrero Jr.,Toronto Blue Jays,665489,R,R,MLB_STATS_API
Wenceel Pérez,Detroit Tigers,672761,S,R,MLB_STATS_API
Will Benson,Cincinnati Reds,666181,L,L,MLB_STATS_API
Will Smith,Los Angeles Dodgers,669257,R,R,MLB_STATS_API
Willi Castro,Colorado Rockies,650489,S,R,MLB_STATS_API
William Contreras,Milwaukee Brewers,661388,R,R,MLB_STATS_API
Willson Contreras,Boston Red Sox,575929,R,R,MLB_STATS_API
Willy Adames,San Francisco Giants,642715,R,R,MLB_STATS_API
Wilyer Abreu,Boston Red Sox,677800,L,L,MLB_STATS_API
Xander Bogaerts,San Diego Padres,593428,R,R,MLB_STATS_API
Xavier Edwards,Miami Marlins,669364,S,R,MLB_STATS_API
Yandy Díaz,Tampa Bay Rays,650490,R,R,MLB_STATS_API
Yordan Alvarez,Houston Astros,670541,L,R,MLB_STATS_API
Zach Cole,Houston Astros,805904,L,R,MLB_STATS_API
Zach McKinstry,Detroit Tigers,656716,L,R,MLB_STATS_API
Zack Gelof,Athletics,680869,R,R,MLB_STATS_API
