player,player_key,team,team_key,game,game_key,market,line,odds,book,consensus_odds,trusted_books_count,trusted_books,raw_books_seen,removed_outliers,odds_quality,source_file
Josh Naylor,josh naylor,Seattle Mariners,seattle mariners,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,567,DraftKings,508,4,DraftKings:+567 | FanDuel:+540 | Caesars:+475 | BetMGM:+380,DraftKings:+567 | FanDuel:+540 | Caesars:+475 | BetMGM:+380 | DraftKings:+567,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Manny Machado,manny machado,San Diego Padres,san diego padres,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,556,DraftKings,508,4,DraftKings:+556 | FanDuel:+540 | Caesars:+475 | BetMGM:+450,DraftKings:+556 | FanDuel:+540 | Caesars:+475 | BetMGM:+450 | DraftKings:+556,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Adolis García,adolis garcia,Philadelphia Phillies,philadelphia phillies,Philadelphia Phillies @ Boston Red Sox,philadelphia phillies @ boston red sox,HR,0.5,561,DraftKings,510,4,DraftKings:+561 | FanDuel:+520 | Caesars:+500 | BetMGM:+450,DraftKings:+561 | FanDuel:+520 | Caesars:+500 | BetMGM:+450 | DraftKings:+561,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Alec Burleson,alec burleson,St Louis Cardinals,st louis cardinals,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,575,Caesars,511,4,Caesars:+575 | FanDuel:+570 | DraftKings:+452 | BetMGM:+375,BetMGM:+800 | DraftKings:+630 | Caesars:+575 | FanDuel:+570 | FanDuel:+490 | DraftKings:+452 | Caesars:+400 | BetMGM:+375 | BetMGM:+800,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Mark Vientos,mark vientos,New York Mets,new york mets,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,570,FanDuel,517,4,FanDuel:+570 | DraftKings:+533 | Caesars:+500 | BetMGM:+500,FanDuel:+570 | DraftKings:+533 | Caesars:+500 | BetMGM:+500 | FanDuel:+570,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Dansby Swanson,dansby swanson,Chicago Cubs,chicago cubs,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,650,BetMGM,519,4,BetMGM:+650 | DraftKings:+537 | Caesars:+500 | FanDuel:+490,BetMGM:+650 | DraftKings:+537 | Caesars:+500 | FanDuel:+490 | BetMGM:+650,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Alex Bregman,alex bregman,Chicago Cubs,chicago cubs,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,576,DraftKings,520,4,DraftKings:+576 | FanDuel:+540 | Caesars:+500 | BetMGM:+500,DraftKings:+576 | FanDuel:+540 | Caesars:+500 | BetMGM:+500 | DraftKings:+576,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Jackson Merrill,jackson merrill,San Diego Padres,san diego padres,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,568,DraftKings,520,4,DraftKings:+568 | FanDuel:+540 | Caesars:+500 | BetMGM:+450,DraftKings:+568 | FanDuel:+540 | Caesars:+500 | BetMGM:+450 | DraftKings:+568,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Connor Norby,connor norby,Miami Marlins,miami marlins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,650,BetMGM,523,4,BetMGM:+650 | Caesars:+525 | FanDuel:+520 | DraftKings:+499,BetMGM:+650 | Caesars:+525 | FanDuel:+520 | DraftKings:+499 | BetMGM:+650,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Dominic Canzone,dominic canzone,Seattle Mariners,seattle mariners,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,529,DraftKings,523,4,DraftKings:+529 | BetMGM:+525 | FanDuel:+520 | Caesars:+500,DraftKings:+529 | BetMGM:+525 | FanDuel:+520 | Caesars:+500 | DraftKings:+529,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Josh Bell,josh bell,Minnesota Twins,minnesota twins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,700,BetMGM,523,4,BetMGM:+700 | Caesars:+525 | FanDuel:+520 | DraftKings:+498,BetMGM:+700 | Caesars:+525 | FanDuel:+520 | DraftKings:+498 | BetMGM:+700,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Heliot Ramos,heliot ramos,San Francisco Giants,san francisco giants,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,575,DraftKings,533,4,DraftKings:+575 | FanDuel:+540 | BetMGM:+525 | Caesars:+500,DraftKings:+575 | FanDuel:+540 | BetMGM:+525 | Caesars:+500,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Joey Wiemer,joey wiemer,Washington Nationals,washington nationals,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,610,FanDuel,534,4,FanDuel:+610 | DraftKings:+568 | Caesars:+500 | BetMGM:+450,FanDuel:+610 | DraftKings:+568 | Caesars:+500 | BetMGM:+450 | FanDuel:+610,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Danny Jansen,danny jansen,Texas Rangers,texas rangers,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,620,DraftKings,535,4,DraftKings:+620 | FanDuel:+570 | Caesars:+500 | BetMGM:+475,DraftKings:+620 | FanDuel:+570 | Caesars:+500 | BetMGM:+475 | DraftKings:+620,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Josh Jung,josh jung,Texas Rangers,texas rangers,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,550,DraftKings,535,4,DraftKings:+550 | BetMGM:+550 | FanDuel:+520 | Caesars:+500,DraftKings:+550 | BetMGM:+550 | FanDuel:+520 | Caesars:+500 | DraftKings:+550,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Pete Crow-Armstrong,pete crow armstrong,Chicago Cubs,chicago cubs,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,550,DraftKings,535,4,DraftKings:+550 | BetMGM:+550 | FanDuel:+520 | Caesars:+500,DraftKings:+550 | BetMGM:+550 | FanDuel:+520 | Caesars:+500 | DraftKings:+550,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Randy Arozarena,randy arozarena,Seattle Mariners,seattle mariners,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,591,DraftKings,535,4,DraftKings:+591 | FanDuel:+570 | Caesars:+500 | BetMGM:+475,DraftKings:+591 | FanDuel:+570 | Caesars:+500 | BetMGM:+475 | DraftKings:+591,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Joc Pederson,joc pederson,Texas Rangers,texas rangers,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,590,FanDuel,541,4,FanDuel:+590 | DraftKings:+581 | Caesars:+500 | BetMGM:+425,FanDuel:+590 | DraftKings:+581 | Caesars:+500 | BetMGM:+425 | FanDuel:+590,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Ryan Jeffers,ryan jeffers,Minnesota Twins,minnesota twins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,600,BetMGM,548,4,BetMGM:+600 | FanDuel:+570 | Caesars:+525 | DraftKings:+521,BetMGM:+600 | FanDuel:+570 | Caesars:+525 | DraftKings:+521 | BetMGM:+600,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Ramón Laureano,ramon laureano,San Diego Padres,san diego padres,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,575,BetMGM,563,4,BetMGM:+575 | FanDuel:+570 | DraftKings:+555 | Caesars:+525,BetMGM:+575 | FanDuel:+570 | DraftKings:+555 | Caesars:+525 | BetMGM:+575,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Andrew Benintendi,andrew benintendi,Chicago White Sox,chicago white sox,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,650,BetMGM,564,4,BetMGM:+650 | DraftKings:+587 | FanDuel:+540 | Caesars:+525,BetMGM:+650 | DraftKings:+587 | FanDuel:+540 | Caesars:+525 | BetMGM:+650,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Gavin Sheets,gavin sheets,San Diego Padres,san diego padres,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,590,FanDuel,568,4,FanDuel:+590 | DraftKings:+585 | BetMGM:+550 | Caesars:+525,FanDuel:+590 | DraftKings:+585 | BetMGM:+550 | Caesars:+525 | FanDuel:+590,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Brendan Donovan,brendan donovan,Seattle Mariners,seattle mariners,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,589,DraftKings,573,4,DraftKings:+589 | BetMGM:+575 | FanDuel:+570 | Caesars:+525,DraftKings:+589 | BetMGM:+575 | FanDuel:+570 | Caesars:+525,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Michael Harris II,michael harris,Atlanta Braves,atlanta braves,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,590,DraftKings,573,4,DraftKings:+590 | BetMGM:+575 | FanDuel:+570 | Caesars:+525,DraftKings:+590 | BetMGM:+575 | FanDuel:+570 | Caesars:+525 | DraftKings:+590,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Owen Caissie,owen caissie,Miami Marlins,miami marlins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,850,BetMGM,573,4,BetMGM:+850 | Caesars:+575 | FanDuel:+570 | DraftKings:+536,BetMGM:+850 | Caesars:+575 | FanDuel:+570 | DraftKings:+536 | BetMGM:+850,1,USABLE_CONSENSUS,sgo_best_lines.csv
Marcell Ozuna,marcell ozuna,Pittsburgh Pirates,pittsburgh pirates,Colorado Rockies @ Pittsburgh Pirates,colorado rockies @ pittsburgh pirates,HR,0.5,650,DraftKings,578,4,DraftKings:+650 | FanDuel:+630 | Caesars:+525 | BetMGM:+475,DraftKings:+650 | FanDuel:+630 | Caesars:+525 | BetMGM:+475 | DraftKings:+650,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Vinnie Pasquantino,vinnie pasquantino,Kansas City Royals,kansas city royals,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,680,FanDuel,583,4,FanDuel:+680 | DraftKings:+640 | Caesars:+525 | BetMGM:+525,FanDuel:+680 | DraftKings:+640 | Caesars:+525 | BetMGM:+525 | FanDuel:+680,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Royce Lewis,royce lewis,Minnesota Twins,minnesota twins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,650,BetMGM,587,4,BetMGM:+650 | FanDuel:+590 | DraftKings:+584 | Caesars:+575,BetMGM:+650 | FanDuel:+590 | DraftKings:+584 | Caesars:+575 | BetMGM:+650,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Ivan Herrera,ivan herrera,St Louis Cardinals,st louis cardinals,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,670,DraftKings,593,4,DraftKings:+670 | FanDuel:+610 | Caesars:+575 | BetMGM:+475,BetMGM:+900 | DraftKings:+670 | FanDuel:+610 | FanDuel:+590 | Caesars:+575 | DraftKings:+562 | Caesars:+500 | BetMGM:+475 | BetMGM:+900,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Jesús Sánchez,jesus sanchez,Toronto Blue Jays,toronto blue jays,Tampa Bay Rays @ Toronto Blue Jays,tampa bay rays @ toronto blue jays,HR,0.5,690,DraftKings,593,4,DraftKings:+690 | FanDuel:+610 | Caesars:+575 | BetMGM:+525,DraftKings:+690 | FanDuel:+610 | Caesars:+575 | BetMGM:+525 | DraftKings:+690,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Jordan Walker,jordan walker,St Louis Cardinals,st louis cardinals,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,650,BetMGM,593,4,BetMGM:+650 | DraftKings:+610 | Caesars:+575 | FanDuel:+540,BetMGM:+650 | DraftKings:+610 | Caesars:+575 | FanDuel:+540 | FanDuel:+390 | BetMGM:+375 | DraftKings:+371 | Caesars:+350 | BetMGM:+650,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Colt Keith,colt keith,Detroit Tigers,detroit tigers,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,680,DraftKings,605,4,DraftKings:+680 | FanDuel:+610 | BetMGM:+600 | Caesars:+575,DraftKings:+680 | FanDuel:+610 | BetMGM:+600 | Caesars:+575 | DraftKings:+680,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Nolan Gorman,nolan gorman,St Louis Cardinals,st louis cardinals,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,650,BetMGM,605,4,BetMGM:+650 | DraftKings:+620 | FanDuel:+590 | Caesars:+575,BetMGM:+650 | DraftKings:+620 | FanDuel:+590 | Caesars:+575 | FanDuel:+420 | DraftKings:+396 | Caesars:+370 | BetMGM:+310 | BetMGM:+650,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Otto Lopez,otto lopez,Miami Marlins,miami marlins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,850,BetMGM,608,4,BetMGM:+850 | Caesars:+625 | FanDuel:+590 | DraftKings:+588,BetMGM:+850 | Caesars:+625 | FanDuel:+590 | DraftKings:+588 | BetMGM:+850,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Brice Turang,brice turang,Milwaukee Brewers,milwaukee brewers,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,680,FanDuel,613,4,FanDuel:+680 | DraftKings:+650 | Caesars:+575 | BetMGM:+525,BetMGM:+1200 | DraftKings:+1000 | Caesars:+950 | FanDuel:+920 | FanDuel:+680 | DraftKings:+650 | Caesars:+575 | BetMGM:+525 | BetMGM:+1200,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Brady House,brady house,Washington Nationals,washington nationals,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,680,FanDuel,623,4,FanDuel:+680 | DraftKings:+670 | Caesars:+575 | BetMGM:+475,FanDuel:+680 | DraftKings:+670 | Caesars:+575 | BetMGM:+475 | FanDuel:+680,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Lane Thomas,lane thomas,Kansas City Royals,kansas city royals,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,680,FanDuel,623,4,FanDuel:+680 | DraftKings:+670 | Caesars:+575 | BetMGM:+550,FanDuel:+680 | DraftKings:+670 | Caesars:+575 | BetMGM:+550,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Willy Adames,willy adames,San Francisco Giants,san francisco giants,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,720,DraftKings,628,4,DraftKings:+720 | FanDuel:+680 | Caesars:+575 | BetMGM:+450,DraftKings:+720 | FanDuel:+680 | Caesars:+575 | BetMGM:+450 | DraftKings:+720,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Bryan Reynolds,bryan reynolds,Pittsburgh Pirates,pittsburgh pirates,Colorado Rockies @ Pittsburgh Pirates,colorado rockies @ pittsburgh pirates,HR,0.5,800,BetMGM,640,4,BetMGM:+800 | DraftKings:+650 | FanDuel:+630 | Caesars:+625,BetMGM:+800 | DraftKings:+650 | FanDuel:+630 | Caesars:+625 | BetMGM:+800,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Jarren Duran,jarren duran,Boston Red Sox,boston red sox,Philadelphia Phillies @ Boston Red Sox,philadelphia phillies @ boston red sox,HR,0.5,690,DraftKings,640,4,DraftKings:+690 | FanDuel:+680 | BetMGM:+600 | Caesars:+575,DraftKings:+690 | FanDuel:+680 | BetMGM:+600 | Caesars:+575 | BetMGM:+575 | FanDuel:+520 | DraftKings:+504 | Caesars:+500,4,CLEANED_CONSENSUS,sgo_best_lines.csv
Wenceel Pérez,wenceel perez,Detroit Tigers,detroit tigers,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,800,BetMGM,645,4,BetMGM:+800 | DraftKings:+660 | FanDuel:+630 | Caesars:+625,BetMGM:+800 | DraftKings:+660 | FanDuel:+630 | Caesars:+625 | BetMGM:+800,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Carson Kelly,carson kelly,Chicago Cubs,chicago cubs,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,680,DraftKings,653,4,DraftKings:+680 | FanDuel:+680 | Caesars:+625 | BetMGM:+600,DraftKings:+680 | FanDuel:+680 | Caesars:+625 | BetMGM:+600,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Evan Carter,evan carter,Texas Rangers,texas rangers,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,770,DraftKings,653,4,DraftKings:+770 | FanDuel:+680 | Caesars:+625 | BetMGM:+525,DraftKings:+770 | FanDuel:+680 | Caesars:+625 | BetMGM:+525 | DraftKings:+770,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Carter Jensen,carter jensen,Kansas City Royals,kansas city royals,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,800,BetMGM,655,4,BetMGM:+800 | FanDuel:+680 | DraftKings:+630 | Caesars:+625,BetMGM:+800 | FanDuel:+680 | DraftKings:+630 | Caesars:+625 | BetMGM:+800,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Pedro Pagés,pedro pages,St Louis Cardinals,st louis cardinals,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,760,FanDuel,663,4,FanDuel:+760 | DraftKings:+700 | Caesars:+625 | BetMGM:+600,BetMGM:+1150 | FanDuel:+760 | DraftKings:+700 | Caesars:+625 | BetMGM:+600 | BetMGM:+1150,2,CLEANED_CONSENSUS,sgo_best_lines.csv
Matt Vierling,matt vierling,Detroit Tigers,detroit tigers,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,760,DraftKings,678,4,DraftKings:+760 | FanDuel:+730 | Caesars:+625 | BetMGM:+600,DraftKings:+760 | FanDuel:+730 | Caesars:+625 | BetMGM:+600 | DraftKings:+760,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Jackson Chourio,jackson chourio,Milwaukee Brewers,milwaukee brewers,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,725,BetMGM,680,4,BetMGM:+725 | DraftKings:+710 | FanDuel:+650 | Caesars:+575,BetMGM:+725 | DraftKings:+710 | FanDuel:+650 | Caesars:+575 | FanDuel:+490 | DraftKings:+471 | Caesars:+425 | BetMGM:+400 | BetMGM:+725,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Xander Bogaerts,xander bogaerts,San Diego Padres,san diego padres,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,720,DraftKings,680,4,DraftKings:+720 | FanDuel:+710 | BetMGM:+650 | Caesars:+625,DraftKings:+720 | FanDuel:+710 | BetMGM:+650 | Caesars:+625 | DraftKings:+720,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Christian Yelich,christian yelich,Milwaukee Brewers,milwaukee brewers,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,790,FanDuel,683,4,FanDuel:+790 | DraftKings:+740 | Caesars:+625 | BetMGM:+475,FanDuel:+790 | DraftKings:+740 | Caesars:+625 | BetMGM:+475 | FanDuel:+790,1,USABLE_CONSENSUS,sgo_best_lines.csv
Matt McLain,matt mclain,Cincinnati Reds,cincinnati reds,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,760,FanDuel,683,4,FanDuel:+760 | DraftKings:+740 | Caesars:+625 | BetMGM:+525,FanDuel:+760 | DraftKings:+740 | Caesars:+625 | BetMGM:+525 | FanDuel:+760,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Trevor Larnach,trevor larnach,Minnesota Twins,minnesota twins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,725,BetMGM,685,4,BetMGM:+725 | DraftKings:+690 | FanDuel:+680 | Caesars:+625,BetMGM:+725 | DraftKings:+690 | FanDuel:+680 | Caesars:+625 | BetMGM:+725,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Jonathan Aranda,jonathan aranda,Tampa Bay Rays,tampa bay rays,Tampa Bay Rays @ Toronto Blue Jays,tampa bay rays @ toronto blue jays,HR,0.5,720,DraftKings,690,4,DraftKings:+720 | Caesars:+700 | FanDuel:+680 | BetMGM:+575,DraftKings:+910 | FanDuel:+880 | DraftKings:+720 | Caesars:+700 | FanDuel:+680 | Caesars:+575 | BetMGM:+575 | BetMGM:+500 | DraftKings:+910,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Liam Hicks,liam hicks,Miami Marlins,miami marlins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,900,BetMGM,690,4,BetMGM:+900 | Caesars:+700 | FanDuel:+680 | DraftKings:+650,BetMGM:+900 | Caesars:+700 | FanDuel:+680 | DraftKings:+650 | BetMGM:+900,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Adrian Del Castillo,adrian del castillo,Arizona Diamondbacks,arizona diamondbacks,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,780,DraftKings,693,4,DraftKings:+780 | FanDuel:+760 | Caesars:+625 | BetMGM:+525,DraftKings:+780 | FanDuel:+760 | Caesars:+625 | BetMGM:+525 | DraftKings:+780,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Maikel Garcia,maikel garcia,Kansas City Royals,kansas city royals,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,725,BetMGM,695,4,BetMGM:+725 | FanDuel:+710 | DraftKings:+680 | Caesars:+625,BetMGM:+725 | FanDuel:+710 | DraftKings:+680 | Caesars:+625 | BetMGM:+725,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Trevor Story,trevor story,Boston Red Sox,boston red sox,Philadelphia Phillies @ Boston Red Sox,philadelphia phillies @ boston red sox,HR,0.5,760,FanDuel,695,4,FanDuel:+760 | DraftKings:+740 | BetMGM:+650 | Caesars:+575,FanDuel:+760 | DraftKings:+740 | BetMGM:+650 | BetMGM:+650 | DraftKings:+620 | FanDuel:+610 | Caesars:+575 | Caesars:+575 | FanDuel:+760,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Matt Chapman,matt chapman,San Francisco Giants,san francisco giants,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,790,FanDuel,703,4,FanDuel:+790 | DraftKings:+780 | Caesars:+625 | BetMGM:+550,FanDuel:+790 | DraftKings:+780 | Caesars:+625 | BetMGM:+550 | FanDuel:+790,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Henry Davis,henry davis,Pittsburgh Pirates,pittsburgh pirates,Colorado Rockies @ Pittsburgh Pirates,colorado rockies @ pittsburgh pirates,HR,0.5,760,FanDuel,715,4,FanDuel:+760 | DraftKings:+730 | Caesars:+700 | BetMGM:+700,FanDuel:+760 | DraftKings:+730 | Caesars:+700 | BetMGM:+700 | FanDuel:+760,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Carlos Narváez,carlos narvaez,Boston Red Sox,boston red sox,Philadelphia Phillies @ Boston Red Sox,philadelphia phillies @ boston red sox,HR,0.5,850,Caesars,728,4,Caesars:+850 | BetMGM:+775 | DraftKings:+680 | FanDuel:+650,DraftKings:+1040 | FanDuel:+1040 | Caesars:+850 | BetMGM:+775 | BetMGM:+725 | Caesars:+700 | DraftKings:+680 | FanDuel:+650 | DraftKings:+1040,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Ryan O'Hearn,ryan ohearn,Pittsburgh Pirates,pittsburgh pirates,Colorado Rockies @ Pittsburgh Pirates,colorado rockies @ pittsburgh pirates,HR,0.5,770,DraftKings,730,4,DraftKings:+770 | FanDuel:+760 | Caesars:+700 | BetMGM:+650,DraftKings:+770 | FanDuel:+760 | Caesars:+700 | BetMGM:+650,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Yandy Díaz,yandy diaz,Tampa Bay Rays,tampa bay rays,Tampa Bay Rays @ Toronto Blue Jays,tampa bay rays @ toronto blue jays,HR,0.5,770,DraftKings,730,4,DraftKings:+770 | FanDuel:+760 | Caesars:+700 | BetMGM:+625,DraftKings:+770 | FanDuel:+760 | FanDuel:+710 | Caesars:+700 | DraftKings:+690 | BetMGM:+625 | Caesars:+575 | BetMGM:+525,4,CLEANED_CONSENSUS,sgo_best_lines.csv
Jake Bauers,jake bauers,Milwaukee Brewers,milwaukee brewers,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,800,BetMGM,735,4,BetMGM:+800 | DraftKings:+760 | FanDuel:+710 | Caesars:+700,BetMGM:+800 | DraftKings:+760 | FanDuel:+710 | Caesars:+700 | FanDuel:+570 | DraftKings:+558 | Caesars:+475 | BetMGM:+425 | BetMGM:+800,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Marcus Semien,marcus semien,New York Mets,new york mets,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,790,DraftKings,743,4,DraftKings:+790 | FanDuel:+760 | BetMGM:+725 | Caesars:+700,DraftKings:+790 | FanDuel:+760 | BetMGM:+725 | Caesars:+700 | DraftKings:+790,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Bo Bichette,bo bichette,New York Mets,new york mets,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,850,DraftKings,745,4,DraftKings:+850 | FanDuel:+790 | Caesars:+700 | BetMGM:+675,DraftKings:+850 | FanDuel:+790 | Caesars:+700 | BetMGM:+675 | DraftKings:+850,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Nolan Arenado,nolan arenado,Arizona Diamondbacks,arizona diamondbacks,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,840,DraftKings,745,4,DraftKings:+840 | FanDuel:+790 | Caesars:+700 | BetMGM:+600,DraftKings:+840 | FanDuel:+790 | Caesars:+700 | BetMGM:+600 | DraftKings:+840,1,CLEANED_CONSENSUS,sgo_best_lines.csv
TJ Friedl,tj friedl,Cincinnati Reds,cincinnati reds,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,880,FanDuel,750,4,FanDuel:+880 | DraftKings:+800 | Caesars:+700 | BetMGM:+650,FanDuel:+880 | DraftKings:+800 | Caesars:+700 | BetMGM:+650 | FanDuel:+880,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Daylen Lile,daylen lile,Washington Nationals,washington nationals,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,820,FanDuel,755,4,FanDuel:+820 | DraftKings:+810 | Caesars:+700 | BetMGM:+600,FanDuel:+820 | DraftKings:+810 | Caesars:+700 | BetMGM:+600,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Jakob Marsee,jakob marsee,Miami Marlins,miami marlins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,900,BetMGM,755,4,BetMGM:+900 | FanDuel:+760 | Caesars:+750 | DraftKings:+690,BetMGM:+900 | FanDuel:+760 | Caesars:+750 | DraftKings:+690 | BetMGM:+900,1,CLEANED_CONSENSUS,sgo_best_lines.csv
