name,team,game,lineup_spot,player_id,avg,obp,ops,slg,iso,hits,doubles,triples,home_runs,extra_base_hits,total_bases,rbi,walks,strikeouts,plate_appearances,at_bats,strikeout_rate,walk_rate,hit_rate,total_bases_per_at_bat,stat_status
Justin Crawford,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,8,702222,.273,.343,.756,0.413,0.140,33,7,2,2,11,50,11,11,28,134,121,20.9,8.2,27.3,0.413,ok
Connor Wong,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,8,657136,.245,.327,.674,0.347,0.102,12,5,0,0,5,17,7,4,11,57,49,19.3,7.0,24.5,0.347,ok
Edmundo Sosa,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,9,624641,.250,.271,.609,0.338,0.088,17,3,0,1,4,23,11,2,15,70,68,21.4,2.9,25.0,0.338,ok
Caleb Durbin,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,9,702332,.165,.250,.491,0.241,0.075,22,7,0,1,8,32,14,11,23,149,133,15.4,7.4,16.5,0.241,ok
George Springer,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,1,543807,.202,.292,.611,0.319,0.117,19,5,0,2,7,30,8,11,20,107,94,18.7,10.3,20.2,0.319,ok
Yohendrick Piñango,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,2,682818,.361,.410,.827,0.417,0.056,13,2,0,0,2,15,6,3,4,39,36,10.3,7.7,36.1,0.417,ok
Vladimir Guerrero Jr.,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,3,665489,.288,.381,.753,0.372,0.083,45,7,0,2,9,58,18,22,21,181,156,11.6,12.2,28.8,0.372,ok
Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,4,672960,.239,.328,.786,0.458,0.219,37,4,0,10,14,71,27,21,50,177,155,28.2,11.9,23.9,0.458,ok
Daulton Varsho,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,5,662139,.250,.321,.724,0.403,0.153,36,7,0,5,12,58,13,13,30,159,144,18.9,8.2,25.0,0.403,ok
Jesús Sánchez,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,6,660821,.260,.302,.719,0.417,0.157,33,5,0,5,10,53,18,6,27,139,127,19.4,4.3,26.0,0.417,ok
Ernie Clement,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,7,676391,.294,.313,.719,0.406,0.112,50,13,0,2,15,69,12,5,14,176,170,8.0,2.8,29.4,0.406,ok
Andrés Giménez,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,8,665926,.248,.275,.686,0.411,0.163,35,6,1,5,12,58,23,4,23,150,141,15.3,2.7,24.8,0.411,ok
Tyler Heineman,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,9,623168,.155,.197,.352,0.155,0.000,9,0,0,0,0,9,3,1,14,65,58,21.5,1.5,15.5,0.155,ok
Kevin McGonigle,Detroit Tigers,Detroit Tigers @ New York Mets,1,805808,.293,.400,.833,0.433,0.140,46,12,2,2,16,68,16,26,24,185,157,13.0,14.1,29.3,0.433,ok
Carson Benge,New York Mets,Detroit Tigers @ New York Mets,1,701807,.237,.296,.640,0.344,0.107,31,5,0,3,8,45,13,11,30,142,131,21.1,7.7,23.7,0.344,ok
Dillon Dingler,Detroit Tigers,Detroit Tigers @ New York Mets,2,693307,.241,.307,.789,0.482,0.241,33,9,0,8,17,66,28,9,29,152,137,19.1,5.9,24.1,0.482,ok
Bo Bichette,New York Mets,Detroit Tigers @ New York Mets,2,666182,.218,.270,.552,0.282,0.063,38,5,0,2,7,49,18,13,33,189,174,17.5,6.9,21.8,0.282,ok
Colt Keith,Detroit Tigers,Detroit Tigers @ New York Mets,3,690993,.303,.346,.715,0.369,0.066,37,8,0,0,8,45,6,7,29,130,122,22.3,5.4,30.3,0.369,ok
Juan Soto,New York Mets,Detroit Tigers @ New York Mets,3,665742,.269,.358,.829,0.471,0.202,28,4,1,5,10,49,13,15,18,120,104,15.0,12.5,26.9,0.471,ok
Riley Greene,Detroit Tigers,Detroit Tigers @ New York Mets,4,682985,.331,.426,.916,0.490,0.159,52,13,0,4,17,77,22,26,48,183,157,26.2,14.2,33.1,0.490,ok
Mark Vientos,New York Mets,Detroit Tigers @ New York Mets,4,668901,.242,.287,.720,0.433,0.192,29,5,0,6,11,52,19,7,27,129,120,20.9,5.4,24.2,0.433,ok
Matt Vierling,Detroit Tigers,Detroit Tigers @ New York Mets,5,663837,.200,.274,.624,0.350,0.150,20,9,0,2,11,35,17,11,18,113,100,15.9,9.7,20.0,0.350,ok
Marcus Semien,New York Mets,Detroit Tigers @ New York Mets,5,543760,.227,.286,.611,0.325,0.097,35,6,0,3,9,50,14,12,33,169,154,19.5,7.1,22.7,0.325,ok
Wenceel Pérez,Detroit Tigers,Detroit Tigers @ New York Mets,6,672761,.169,.221,.479,0.258,0.090,15,2,0,2,4,23,8,6,13,95,89,13.7,6.3,16.9,0.258,ok
Brett Baty,New York Mets,Detroit Tigers @ New York Mets,6,683146,.220,.290,.623,0.333,0.114,27,6,1,2,9,41,15,12,37,139,123,26.6,8.6,22.0,0.333,ok
Spencer Torkelson,Detroit Tigers,Detroit Tigers @ New York Mets,7,679529,.197,.320,.700,0.380,0.183,28,8,0,6,14,54,16,24,54,169,142,32.0,14.2,19.7,0.380,ok
Tyrone Taylor,New York Mets,Detroit Tigers @ New York Mets,7,621438,.182,.203,.489,0.286,0.104,14,2,0,2,4,22,11,2,15,82,77,18.3,2.4,18.2,0.286,ok
Zach McKinstry,Detroit Tigers,Detroit Tigers @ New York Mets,8,656716,.182,.250,.523,0.273,0.091,12,3,0,1,4,18,5,6,15,72,66,20.8,8.3,18.2,0.273,ok
A.J. Ewing,New York Mets,Detroit Tigers @ New York Mets,8,805999,.333,.538,1.427,0.889,0.556,3,0,1,1,2,8,3,4,3,13,9,23.1,30.8,33.3,0.889,ok
Zack Short,Detroit Tigers,Detroit Tigers @ New York Mets,9,670097,.000,.308,.308,0.000,0.000,0,0,0,0,0,0,0,3,3,13,9,23.1,23.1,0.0,0.000,ok
Luis Torrens,New York Mets,Detroit Tigers @ New York Mets,9,620443,.216,.273,.567,0.294,0.078,11,4,0,0,4,15,8,3,11,56,51,19.6,5.4,21.6,0.294,ok
Mauricio Dubón,Atlanta Braves,Chicago Cubs @ Atlanta Braves,1,643289,.260,.317,.726,0.409,0.149,40,10,2,3,15,63,25,11,29,167,154,17.4,6.6,26.0,0.409,ok
Drake Baldwin,Atlanta Braves,Chicago Cubs @ Atlanta Braves,2,686948,.290,.372,.883,0.511,0.222,51,6,0,11,17,90,33,20,43,199,176,21.6,10.1,29.0,0.511,ok
Ozzie Albies,Atlanta Braves,Chicago Cubs @ Atlanta Braves,3,645277,.292,.344,.826,0.482,0.190,49,8,0,8,16,81,25,14,24,186,168,12.9,7.5,29.2,0.482,ok
Matt Olson,Atlanta Braves,Chicago Cubs @ Atlanta Braves,4,621566,.292,.370,1.001,0.631,0.339,49,15,0,14,29,106,37,22,46,192,168,24.0,11.5,29.2,0.631,ok
Austin Riley,Atlanta Braves,Chicago Cubs @ Atlanta Braves,5,663586,.215,.287,.655,0.368,0.153,35,7,0,6,13,60,25,14,47,181,163,26.0,7.7,21.5,0.368,ok
Michael Harris II,Atlanta Braves,Chicago Cubs @ Atlanta Braves,6,671739,.314,.340,.844,0.504,0.190,43,5,0,7,12,69,23,6,28,144,137,19.4,4.2,31.4,0.504,ok
Ha-Seong Kim,Atlanta Braves,Chicago Cubs @ Atlanta Braves,7,673490,.125,.222,.347,0.125,0.000,1,0,0,0,0,1,0,1,1,9,8,11.1,11.1,12.5,0.125,ok
Sandy León,Atlanta Braves,Chicago Cubs @ Atlanta Braves,8,506702,.500,.500,1.000,0.500,0.000,1,0,0,0,0,1,0,0,0,2,2,0.0,0.0,50.0,0.500,ok
José Azocar,Atlanta Braves,Chicago Cubs @ Atlanta Braves,9,640492,.200,.200,.400,0.200,0.000,1,0,0,0,0,1,0,0,2,5,5,40.0,0.0,20.0,0.200,ok
Maikel Garcia,Kansas City Royals,Kansas City Royals @ Chicago White Sox,1,672580,.280,.352,.774,0.422,0.143,45,12,1,3,16,68,17,19,28,182,161,15.4,10.4,28.0,0.422,ok
Sam Antonacci,Chicago White Sox,Kansas City Royals @ Chicago White Sox,1,803011,.278,.383,.801,0.418,0.139,22,4,2,1,7,33,9,6,11,96,79,11.5,6.3,27.8,0.418,ok
Bobby Witt Jr.,Kansas City Royals,Kansas City Royals @ Chicago White Sox,2,677951,.308,.379,.885,0.506,0.198,53,11,1,7,19,87,22,21,33,195,172,16.9,10.8,30.8,0.506,ok
Munetaka Murakami,Chicago White Sox,Kansas City Royals @ Chicago White Sox,2,808959,.228,.370,.907,0.537,0.309,34,1,0,15,16,80,29,34,63,184,149,34.2,18.5,22.8,0.537,ok
Lane Thomas,Kansas City Royals,Kansas City Royals @ Chicago White Sox,3,657041,.197,.344,.594,0.250,0.053,15,1,0,1,2,19,8,17,19,96,76,19.8,17.7,19.7,0.250,ok
Miguel Vargas,Chicago White Sox,Kansas City Royals @ Chicago White Sox,3,678246,.243,.377,.850,0.473,0.230,36,5,1,9,15,70,23,30,30,183,148,16.4,16.4,24.3,0.473,ok
Salvador Perez,Kansas City Royals,Kansas City Royals @ Chicago White Sox,4,521692,.196,.236,.573,0.337,0.141,32,5,0,6,11,55,18,6,39,174,163,22.4,3.4,19.6,0.337,ok
