rank,name,team,opponent,game,lineup_spot,pitcher,pitcher_hand,odds,book,final_hr_score,decision_tier,confidence,agreement_count,signal_flags,master_score,master_tier,matchup_score,matchup_grade,split_score,split_grade,per_pitch_score,per_pitch_grade,contact_score,environment_score,recent_score,market_score,value_score,barrel_rate,hard_hit_rate,primary_pitch_match,primary_pitch_usage_pct,best_hitter_pitch,weakest_pitcher_pitch,pitcher_vulnerability_score,handedness_split_score,note
65,Vladimir Guerrero Jr.,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,Griffin Jax,,544,DraftKings,59.4,WATCH,SPECULATIVE,0,,67.3,GOOD,58.8,NEUTRAL,62.8,NEUTRAL,65.1,NEUTRAL,54.5,53.8,50,66.8,64,9,42.5,4-Seam Fastball,30.4,Cutter,4-Seam Fastball,76.7,50,Thin profile
66,Alex Bregman,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,JR Ritchie,,576,DraftKings,59.2,WATCH,SPECULATIVE,0,,69.7,GOOD,59,NEUTRAL,64.3,NEUTRAL,61.3,NEUTRAL,49.1,50.3,50,65,60,6,45.1,4-Seam Fastball,25.7,Cutter,Changeup,92.5,50,Thin profile
67,Carson Kelly,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,JR Ritchie,,680,DraftKings,58.8,WATCH,SPECULATIVE,0,,69.6,GOOD,59.2,NEUTRAL,67.1,PLUS,60.8,NEUTRAL,56,50.3,50,55.1,60,8.8,45,4-Seam Fastball,25.7,Sinker,Changeup,92.5,50,Thin profile
68,Byron Buxton,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,,Max Meyer,,330,DraftKings,58.5,WATCH,SPECULATIVE,1,PITCH|CONTACT,70.4,GOOD,53.9,THIN,60.1,NEUTRAL,78.2,PLUS,80.4,49.2,50,83,62,20,46.7,Sweeper,29.9,4-Seam Fastball,Sweeper,18.9,50,Playable with selectivity
69,George Springer,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,Griffin Jax,,503,DraftKings,58.4,WATCH,SPECULATIVE,0,,67.4,GOOD,58.3,NEUTRAL,59.6,NEUTRAL,62.2,NEUTRAL,50.8,53.8,50,69.5,64,8.5,39.4,4-Seam Fastball,30.4,Cutter,4-Seam Fastball,76.7,50,Thin profile
70,Marcelo Mayer,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,Andrew Painter,,820,FanDuel,58.4,WATCH,SPECULATIVE,0,,65.5,GOOD,58.2,NEUTRAL,67.7,PLUS,68,NEUTRAL,48.6,48.6,50,50.2,54,7,41.4,4-Seam Fastball,39.2,4-Seam Fastball,4-Seam Fastball,96,62,Thin profile
71,Matt Olson,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,Shota Imanaga,,400,DraftKings,58.2,WATCH,SPECULATIVE,1,CONTACT,71.6,GOOD,54.7,THIN,57.9,NEUTRAL,76.7,PLUS,84,50.1,50,83,62,19,51.2,4-Seam Fastball,34.6,4-Seam Fastball,4-Seam Fastball,15.3,43,Thin profile
72,Daulton Varsho,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,Griffin Jax,,520,FanDuel,58.2,WATCH,SPECULATIVE,0,,66.1,GOOD,55.7,NEUTRAL,59.6,NEUTRAL,65.6,NEUTRAL,41.7,53.8,50,68.3,64,5.4,37.8,4-Seam Fastball,30.4,4-Seam Fastball,4-Seam Fastball,76.7,62,Thin profile
73,Evan Carter,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,Ryne Nelson,,770,DraftKings,57.9,PASS,SPECULATIVE,0,,67,GOOD,55.2,NEUTRAL,64.7,NEUTRAL,68.9,NEUTRAL,50.1,51.4,50,51.7,54,8.4,38.9,4-Seam Fastball,61,4-Seam Fastball,4-Seam Fastball,77.5,62,Thin profile
74,Carlos Narváez,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,Andrew Painter,,850,Caesars,57.8,PASS,SPECULATIVE,0,,69.6,GOOD,58.8,NEUTRAL,66,PLUS,61.6,NEUTRAL,51.3,48.6,50,49.3,54,8.6,39.7,Sinker,13.4,Sinker,4-Seam Fastball,96,50,Thin profile
