stack_id,game,stack_size,stack_type,players,teams,pitcher,odds,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,avg_vegas_total,avg_weather_boost,lineup_correlation_bonus,same_team_bonus,environment_bonus,stack_score,stack_grade,payout_profile
Miami Marlins @ Minnesota Twins | 2 MAN | Kyle Stowers + Xavier Edwards,Miami Marlins @ Minnesota Twins,2,TEAMMATE_HR_STACK,Kyle Stowers + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Kyle Stowers | Xavier Edwards,51.67,34.00,81.16,41.29,,,2.00,7.00,0.00,55.68,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Kyle Stowers + Christopher Morel,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Christopher Morel,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Christopher Morel,51.62,34.00,81.69,40.69,,,2.00,7.00,0.00,55.68,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Kyle Stowers + Jakob Marsee,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Jakob Marsee,51.65,34.00,81.39,41.02,,,2.00,7.00,0.00,55.68,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Heriberto Hernández + Connor Norby,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Heriberto Hernández | Connor Norby,51.66,34.00,81.30,41.13,,,2.00,7.00,0.00,55.68,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Liam Hicks + Jakob Marsee,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Liam Hicks + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Liam Hicks | Jakob Marsee,51.67,34.00,81.21,41.24,,,2.00,7.00,0.00,55.68,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Liam Hicks + Christopher Morel,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Christopher Morel,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Christopher Morel,51.63,34.00,81.31,41.03,,,2.00,7.00,0.00,55.66,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Liam Hicks + Jakob Marsee,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Jakob Marsee,51.66,34.00,81.01,41.36,,,2.00,7.00,0.00,55.66,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Owen Caissie + Christopher Morel,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Owen Caissie + Christopher Morel,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Owen Caissie | Christopher Morel,51.59,34.00,81.63,40.68,,,2.00,7.00,0.00,55.66,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Owen Caissie + Jakob Marsee,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Owen Caissie + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Owen Caissie | Jakob Marsee,51.62,34.00,81.40,40.92,,,2.00,7.00,0.00,55.66,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Xavier Edwards + Christopher Morel,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Xavier Edwards + Christopher Morel,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Xavier Edwards | Christopher Morel,51.62,34.00,81.39,40.94,,,2.00,7.00,0.00,55.66,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Xavier Edwards + Jakob Marsee,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Xavier Edwards + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Xavier Edwards | Jakob Marsee,51.64,34.00,81.17,41.18,,,2.00,7.00,0.00,55.66,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Owen Caissie + Heriberto Hernández + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Owen Caissie + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Owen Caissie | Heriberto Hernández | Connor Norby,51.63,34.00,81.34,41.01,,,2.00,7.00,0.00,55.66,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Xavier Edwards + Heriberto Hernández + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Xavier Edwards + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Xavier Edwards | Heriberto Hernández | Connor Norby,51.66,34.00,81.11,41.27,,,2.00,7.00,0.00,55.66,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Kyle Stowers + Liam Hicks + Owen Caissie + Xavier Edwards,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Kyle Stowers + Liam Hicks + Owen Caissie + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Kyle Stowers | Liam Hicks | Owen Caissie | Xavier Edwards,51.66,34.00,81.11,41.29,,,2.00,7.00,0.00,55.66,DEEP_ONLY,NO_ODDS
