player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books
Freddy Fermin,freddy fermin,FREDDY_FERMIN_1_MLB,SAN_DIEGO_PADRES_MLB,San Diego Padres @ Seattle Mariners,t1ipmAaZhJ0nLxBz9tIk,2+ TB,1.5,220,fanduel,6,-14,fanduel:+220 | draftkings:+216 | betmgm:-125 | bovada:-127 | caesars:-130 | espnbet:-140
Gabriel Moreno,gabriel moreno,GABRIEL_MORENO_1_MLB,ARIZONA_DIAMONDBACKS_MLB,Arizona Diamondbacks @ Colorado Rockies,riD2wa1xBCGVtP6u4lHX,2+ TB,1.5,100,espnbet,6,-73,espnbet:+100 | draftkings:-104 | bovada:-105 | betmgm:-105 | caesars:-106 | fanduel:-120
Garrett Mitchell,garrett mitchell,GARRETT_MITCHELL_1_MLB,MILWAUKEE_BREWERS_MLB,Milwaukee Brewers @ Minnesota Twins,3itxNJYiA3Wh4p2bJOJs,2+ TB,1.5,177,draftkings,1,177,draftkings:+177
Gary Sánchez,gary sánchez,GARY_SANCHEZ_1_MLB,MILWAUKEE_BREWERS_MLB,Milwaukee Brewers @ Minnesota Twins,3itxNJYiA3Wh4p2bJOJs,2+ TB,1.5,157,draftkings,1,157,draftkings:+157
Gavin Sheets,gavin sheets,GAVIN_SHEETS_1_MLB,SAN_DIEGO_PADRES_MLB,San Diego Padres @ Seattle Mariners,t1ipmAaZhJ0nLxBz9tIk,2+ TB,1.5,188,draftkings,6,-33,draftkings:+188 | fanduel:+185 | espnbet:-140 | bovada:-141 | caesars:-143 | betmgm:-150
George Springer,george springer,GEORGE_SPRINGER_1_MLB,TORONTO_BLUE_JAYS_MLB,Toronto Blue Jays @ Detroit Tigers,T9qul5Ie7BmzUPHcKAdN,2+ TB,1.5,120,espnbet,6,109,espnbet:+120 | caesars:+110 | bovada:+110 | draftkings:+106 | betmgm:+105 | fanduel:+100
Geraldo Perdomo,geraldo perdomo,GERALDO_PERDOMO_1_MLB,ARIZONA_DIAMONDBACKS_MLB,Arizona Diamondbacks @ Colorado Rockies,riD2wa1xBCGVtP6u4lHX,2+ TB,1.5,-115,espnbet,6,-121,espnbet:-115 | caesars:-117 | betmgm:-120 | bovada:-125 | fanduel:-125 | draftkings:-126
Gunnar Henderson,gunnar henderson,GUNNAR_HENDERSON_1_MLB,BALTIMORE_ORIOLES_MLB,Baltimore Orioles @ Washington Nationals,jkvwAdFvDLQY4Xvktwk1,2+ TB,1.5,-115,betmgm,5,-124,betmgm:-115 | caesars:-120 | bovada:-120 | draftkings:-121 | fanduel:-145
Ha-Seong Kim,ha-seong kim,HASEONG_KIM_1_MLB,ATLANTA_BRAVES_MLB,Boston Red Sox @ Atlanta Braves,azr6g0BYc5oimCrDM5DD,2+ TB,1.5,171,bovada,6,-2,bovada:+171 | fanduel:+155 | draftkings:+153 | betmgm:-160 | caesars:-164 | espnbet:-165
Harrison Bader,harrison bader,HARRISON_BADER_1_MLB,SAN_FRANCISCO_GIANTS_MLB,San Francisco Giants @ Athletics,H8XBXLklWHd2ErXIGMUd,2+ TB,1.5,146,bovada,3,34,bovada:+146 | fanduel:+130 | betmgm:-175
