name,mlbam,team,game,reason,available_log_teams
Wilyer Abreu,,Boston Red Sox,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Will Benson,,Cincinnati Reds,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Matt Olson,,Atlanta Braves,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Vinnie Pasquantino,,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
JJ Bleday,,Cincinnati Reds,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Samuel Basallo,,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
CJ Abrams,,Washington Nationals,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Jake Burger,,Texas Rangers,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Willy Adames,,San Francisco Giants,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Seiya Suzuki,,Chicago Cubs,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Joc Pederson,,Texas Rangers,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Nolan Gorman,,St. Louis Cardinals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Brandon Nimmo,,Texas Rangers,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Heliot Ramos,,San Francisco Giants,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Brandon Lowe,,Pittsburgh Pirates,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
José Ramírez,,Cleveland Guardians,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Jordan Walker,,St. Louis Cardinals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Casey Schmitt,,San Francisco Giants,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Zach Cole,,Houston Astros,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Sal Stewart,,Cincinnati Reds,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Tyler O'Neill,,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Nolan Arenado,,Arizona Diamondbacks,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Max Muncy,,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Kazuma Okamoto,,Toronto Blue Jays,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Colson Montgomery,,Chicago White Sox,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Oneil Cruz,,Pittsburgh Pirates,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Tyler Soderstrom,,Athletics,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Gunnar Henderson,,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Kyle Schwarber,,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Pete Alonso,,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Corbin Carroll,,Arizona Diamondbacks,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
James Wood,,Washington Nationals,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Corey Seager,,Texas Rangers,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Brent Rooker,,Athletics,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Aaron Judge,,New York Yankees,New York Yankees @ New York Mets,NO_LOG_MATCH,
Yordan Alvarez,,Houston Astros,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Ketel Marte,,Arizona Diamondbacks,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Hunter Goodman,,Colorado Rockies,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Mickey Moniak,,Colorado Rockies,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Munetaka Murakami,,Chicago White Sox,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Shea Langeliers,,Athletics,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Shohei Ohtani,,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Nick Kurtz,,Athletics,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Rafael Devers,,San Francisco Giants,San Francisco Giants @ Athletics,NO_LOG_MATCH,
