name,team,opponent,pitcher,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,matchup_note
Ozzie Albies,Atlanta Braves,Chicago Cubs,Shota Imanaga,80.68,STRONG,4-Seam Fastball,34.6,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,Split-Finger 40.9% | 4-Seam Fastball 34.6% | Sweeper 15.4% | Sinker 7.7%,242,286,Ozzie Albies profiles best against 4-Seam Fastball | Shota Imanaga grades weakest on 4-Seam Fastball | Direct pitch type overlap
Edmundo Sosa,Philadelphia Phillies,Boston Red Sox,Sonny Gray,80.55,STRONG,4-Seam Fastball,11.4,100.0,85.1,4-Seam Fastball,100.0,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,97,70,Edmundo Sosa profiles best against 4-Seam Fastball | Sonny Gray grades weakest on Cutter
Brandon Lowe,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,80.53,STRONG,4-Seam Fastball,28.2,100.0,86.2,Changeup,100.0,Slurve,100.0,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,294,245,Brandon Lowe profiles best against 4-Seam Fastball | Jose Quintana grades weakest on Slurve
Carson Kelly,Chicago Cubs,Atlanta Braves,JR Ritchie,80.51,STRONG,4-Seam Fastball,25.7,74.7,100.0,Sinker,88.8,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,170,249,Carson Kelly profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup
Michael Busch,Chicago Cubs,Atlanta Braves,JR Ritchie,80.47,STRONG,4-Seam Fastball,25.7,100.0,100.0,Sinker,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,320,249,Michael Busch profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup
Daulton Varsho,Toronto Blue Jays,Tampa Bay Rays,Griffin Jax,80.46,STRONG,4-Seam Fastball,30.4,100.0,100.0,4-Seam Fastball,100.0,4-Seam Fastball,100.0,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,230,135,Daulton Varsho profiles best against 4-Seam Fastball | Griffin Jax grades weakest on 4-Seam Fastball | Direct pitch type overlap
Cedric Mullins,Tampa Bay Rays,Toronto Blue Jays,Dylan Cease,80.33,STRONG,Changeup,13.5,99.7,92.8,Changeup,99.7,Sinker,100.0,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,163,310,Cedric Mullins profiles best against Changeup | Dylan Cease grades weakest on Sinker
Carlos Narváez,Boston Red Sox,Philadelphia Phillies,Andrew Painter,80.32,STRONG,Sinker,13.4,100.0,100.0,Sinker,100.0,4-Seam Fastball,100.0,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,143,283,Carlos Narváez profiles best against Sinker | Andrew Painter grades weakest on 4-Seam Fastball
Nick Gonzales,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,80.20,STRONG,4-Seam Fastball,28.2,100.0,86.2,4-Seam Fastball,100.0,Slurve,100.0,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,279,245,Nick Gonzales profiles best against 4-Seam Fastball | Jose Quintana grades weakest on Slurve
Kyle Karros,Colorado Rockies,Pittsburgh Pirates,Mitch Keller,80.14,STRONG,4-Seam Fastball,39.7,94.2,100.0,4-Seam Fastball,94.2,4-Seam Fastball,100.0,4-Seam Fastball 39.7% | Sweeper 17.0% | Sinker 12.4% | Slider 9.6%,253,282,Kyle Karros profiles best against 4-Seam Fastball | Mitch Keller grades weakest on 4-Seam Fastball | Direct pitch type overlap
