rank,game,stack_size,players,teams,pitcher,stack_type,simulation_stack_type,base_stack_score,avg_player_hr_probability,simulated_any_hr_probability,simulated_all_hr_probability,adjusted_all_hr_probability,correlation_boost,avg_ev_percent,simulation_stack_score,simulation_stack_grade,payout_profile
3645,San Francisco Giants @ Los Angeles Dodgers,2,Will Smith + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.35,7.94%,15.36%,0.5266%,0.6166%,17.10%,-47.38%,48.10,SIM_THIN_2MAN,NO_ODDS
3646,Tampa Bay Rays @ Toronto Blue Jays,4,Jesús Sánchez + Andrés Giménez + Tyler Heineman + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.72,5.33%,19.70%,0.0007%,0.0009%,18.41%,-45.25%,48.09,SIM_THIN_4MAN,NO_ODDS
3647,Tampa Bay Rays @ Toronto Blue Jays,4,Jesús Sánchez + Junior Caminero + Jonathan Aranda + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.85,6.48%,23.55%,0.0015%,0.0018%,17.35%,-52.87%,48.09,SIM_THIN_4MAN,NO_ODDS
3648,Tampa Bay Rays @ Toronto Blue Jays,4,Daulton Varsho + Jesús Sánchez + Yandy Díaz + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.05,5.93%,21.76%,0.0010%,0.0011%,17.90%,-53.65%,48.07,SIM_THIN_4MAN,NO_ODDS
3649,Tampa Bay Rays @ Toronto Blue Jays,3,Daulton Varsho + Ernie Clement + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.91,6.03%,17.06%,0.0198%,0.0235%,18.42%,-48.80%,48.05,SIM_THIN_3MAN,NO_ODDS
3650,Tampa Bay Rays @ Toronto Blue Jays,4,Vladimir Guerrero Jr. + Andrés Giménez + Ernie Clement + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.85,5.33%,19.73%,0.0006%,0.0007%,18.44%,-48.14%,48.05,SIM_THIN_4MAN,NO_ODDS
3651,San Francisco Giants @ Los Angeles Dodgers,4,Dalton Rushing + Casey Schmitt + Rafael Devers + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.38,7.15%,25.72%,0.0023%,0.0027%,16.59%,-50.49%,48.05,SIM_THIN_4MAN,NO_ODDS
3652,San Francisco Giants @ Los Angeles Dodgers,3,Casey Schmitt + Heliot Ramos + Rafael Devers,San Francisco Giants,Shohei Ohtani,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,47.75,7.58%,21.06%,0.0432%,0.0502%,16.25%,-50.63%,48.04,SIM_THIN_3MAN,NO_ODDS
3653,San Francisco Giants @ Los Angeles Dodgers,3,Teoscar Hernández + Casey Schmitt + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.77,7.72%,21.48%,0.0394%,0.0460%,16.80%,-48.15%,48.03,SIM_THIN_3MAN,NO_ODDS
3654,San Francisco Giants @ Los Angeles Dodgers,3,Mookie Betts + Heliot Ramos + Rafael Devers,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.57,7.94%,21.99%,0.0490%,0.0572%,16.70%,-53.16%,48.03,SIM_THIN_3MAN,NO_ODDS
3655,San Francisco Giants @ Los Angeles Dodgers,3,Freddie Freeman + Casey Schmitt + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.04,7.56%,21.07%,0.0376%,0.0440%,16.90%,-46.34%,48.02,SIM_THIN_3MAN,NO_ODDS
3656,Tampa Bay Rays @ Toronto Blue Jays,4,Jesús Sánchez + George Springer + Yandy Díaz + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.99,5.93%,21.77%,0.0010%,0.0011%,17.88%,-53.98%,48.01,SIM_THIN_4MAN,NO_ODDS
3657,Tampa Bay Rays @ Toronto Blue Jays,4,Vladimir Guerrero Jr. + Junior Caminero + Jonathan Aranda + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.78,6.48%,23.59%,0.0013%,0.0016%,17.32%,-54.80%,47.97,SIM_THIN_4MAN,NO_ODDS
3658,San Francisco Giants @ Los Angeles Dodgers,3,Kyle Tucker + Mookie Betts + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.47,7.36%,20.54%,0.0354%,0.0415%,17.20%,-52.00%,47.97,SIM_THIN_3MAN,NO_ODDS
3659,Tampa Bay Rays @ Toronto Blue Jays,3,George Springer + Ernie Clement + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.83,6.03%,17.07%,0.0199%,0.0235%,18.39%,-49.25%,47.96,SIM_THIN_3MAN,NO_ODDS
3660,Tampa Bay Rays @ Toronto Blue Jays,4,Vladimir Guerrero Jr. + Andrés Giménez + Tyler Heineman + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.65,5.33%,19.75%,0.0006%,0.0007%,18.39%,-47.19%,47.96,SIM_THIN_4MAN,NO_ODDS
3661,Tampa Bay Rays @ Toronto Blue Jays,4,Jesús Sánchez + Ernie Clement + Tyler Heineman + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.64,5.29%,19.55%,0.0007%,0.0008%,18.39%,-44.88%,47.96,SIM_THIN_4MAN,NO_ODDS
3662,Tampa Bay Rays @ Toronto Blue Jays,2,Daulton Varsho + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.61,6.78%,13.12%,0.4378%,0.5173%,18.16%,-52.65%,47.96,SIM_THIN_2MAN,NO_ODDS
3663,San Francisco Giants @ Los Angeles Dodgers,4,Dalton Rushing + Heliot Ramos + Rafael Devers + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.35,7.10%,25.56%,0.0023%,0.0027%,16.59%,-50.33%,47.95,SIM_THIN_4MAN,NO_ODDS
3664,Tampa Bay Rays @ Toronto Blue Jays,3,Andrés Giménez + Ernie Clement + Tyler Heineman,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.33,4.60%,13.17%,0.0097%,0.0115%,18.90%,-40.32%,47.94,SIM_THIN_3MAN,NO_ODDS
3665,San Francisco Giants @ Los Angeles Dodgers,4,Casey Schmitt + Heliot Ramos + Rafael Devers + Harrison Bader,San Francisco Giants,Shohei Ohtani,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,47.43,6.86%,24.78%,0.0020%,0.0024%,16.12%,-51.20%,47.94,SIM_THIN_4MAN,NO_ODDS
3666,Tampa Bay Rays @ Toronto Blue Jays,3,Daulton Varsho + Tyler Heineman + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.63,6.04%,17.08%,0.0199%,0.0236%,18.35%,-47.52%,47.94,SIM_THIN_3MAN,NO_ODDS
3667,Tampa Bay Rays @ Toronto Blue Jays,4,Vladimir Guerrero Jr. + Andrés Giménez + Jonathan Aranda + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.00,5.80%,21.30%,0.0010%,0.0012%,17.93%,-51.01%,47.94,SIM_THIN_4MAN,NO_ODDS
3668,San Francisco Giants @ Los Angeles Dodgers,3,Kyle Tucker + Casey Schmitt + Rafael Devers,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.82,7.71%,21.40%,0.0454%,0.0530%,16.82%,-50.91%,47.94,SIM_THIN_3MAN,NO_ODDS
3669,Chicago Cubs @ Atlanta Braves,2,Nico Hoerner + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.10,6.60%,12.78%,0.4166%,0.4919%,18.09%,-39.00%,47.93,SIM_THIN_2MAN,NO_ODDS
3670,San Francisco Giants @ Los Angeles Dodgers,3,Teoscar Hernández + Heliot Ramos + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.73,7.65%,21.31%,0.0384%,0.0449%,16.80%,-47.94%,47.90,SIM_THIN_3MAN,NO_ODDS
3671,San Francisco Giants @ Los Angeles Dodgers,3,Freddie Freeman + Heliot Ramos + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.00,7.49%,20.90%,0.0367%,0.0429%,16.89%,-46.13%,47.89,SIM_THIN_3MAN,NO_ODDS
3672,Tampa Bay Rays @ Toronto Blue Jays,3,Jesús Sánchez + Junior Caminero + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.34,6.87%,19.28%,0.0292%,0.0343%,17.59%,-51.65%,47.88,SIM_THIN_3MAN,NO_ODDS
3673,Tampa Bay Rays @ Toronto Blue Jays,3,George Springer + Tyler Heineman + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.55,6.04%,17.08%,0.0199%,0.0236%,18.32%,-47.97%,47.85,SIM_THIN_3MAN,NO_ODDS
3674,Tampa Bay Rays @ Toronto Blue Jays,3,Vladimir Guerrero Jr. + Andrés Giménez + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.87,5.96%,16.90%,0.0184%,0.0218%,18.37%,-49.17%,47.83,SIM_THIN_3MAN,NO_ODDS
3675,Tampa Bay Rays @ Toronto Blue Jays,4,Vladimir Guerrero Jr. + Ernie Clement + Tyler Heineman + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.56,5.29%,19.60%,0.0006%,0.0007%,18.37%,-46.82%,47.83,SIM_THIN_4MAN,NO_ODDS
3676,Tampa Bay Rays @ Toronto Blue Jays,2,George Springer + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.49,6.78%,13.13%,0.4383%,0.5177%,18.11%,-53.32%,47.83,SIM_THIN_2MAN,NO_ODDS
3677,Tampa Bay Rays @ Toronto Blue Jays,3,Jesús Sánchez + Andrés Giménez + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.99,5.85%,16.56%,0.0188%,0.0223%,18.41%,-46.52%,47.82,SIM_THIN_3MAN,NO_ODDS
3678,Tampa Bay Rays @ Toronto Blue Jays,4,Vladimir Guerrero Jr. + Ernie Clement + Jonathan Aranda + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.92,5.75%,21.15%,0.0009%,0.0011%,17.91%,-50.64%,47.81,SIM_THIN_4MAN,NO_ODDS
3679,San Francisco Giants @ Los Angeles Dodgers,3,Kyle Tucker + Heliot Ramos + Rafael Devers,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.78,7.64%,21.23%,0.0442%,0.0517%,16.81%,-50.70%,47.81,SIM_THIN_3MAN,NO_ODDS
3680,Tampa Bay Rays @ Toronto Blue Jays,4,Andrés Giménez + Ernie Clement + Junior Caminero + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.58,5.78%,21.22%,0.0010%,0.0011%,17.87%,-48.50%,47.79,SIM_THIN_4MAN,NO_ODDS
3681,Tampa Bay Rays @ Toronto Blue Jays,4,Daulton Varsho + Andrés Giménez + Ernie Clement + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.78,5.22%,19.38%,0.0006%,0.0007%,18.42%,-49.28%,47.75,SIM_THIN_4MAN,NO_ODDS
3682,San Francisco Giants @ Los Angeles Dodgers,4,Mookie Betts + Casey Schmitt + Rafael Devers + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.08,7.18%,25.83%,0.0024%,0.0028%,16.46%,-53.26%,47.75,SIM_THIN_4MAN,NO_ODDS
3683,Tampa Bay Rays @ Toronto Blue Jays,4,Vladimir Guerrero Jr. + Tyler Heineman + Jonathan Aranda + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.71,5.76%,21.17%,0.0009%,0.0011%,17.86%,-49.68%,47.73,SIM_THIN_4MAN,NO_ODDS
3684,San Francisco Giants @ Los Angeles Dodgers,2,Andy Pages + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.38,7.67%,14.84%,0.5007%,0.5864%,17.12%,-45.10%,47.73,SIM_THIN_2MAN,NO_ODDS
3685,Tampa Bay Rays @ Toronto Blue Jays,4,Andrés Giménez + Tyler Heineman + Junior Caminero + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.38,5.78%,21.24%,0.0010%,0.0011%,17.81%,-47.54%,47.71,SIM_THIN_4MAN,NO_ODDS
3686,Tampa Bay Rays @ Toronto Blue Jays,3,Vladimir Guerrero Jr. + Junior Caminero + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.24,6.87%,19.32%,0.0252%,0.0296%,17.56%,-54.23%,47.71,SIM_THIN_3MAN,NO_ODDS
3687,Tampa Bay Rays @ Toronto Blue Jays,4,George Springer + Andrés Giménez + Ernie Clement + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.72,5.23%,19.39%,0.0006%,0.0007%,18.40%,-49.61%,47.69,SIM_THIN_4MAN,NO_ODDS
3688,Tampa Bay Rays @ Toronto Blue Jays,4,Daulton Varsho + Junior Caminero + Jonathan Aranda + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.71,6.38%,23.26%,0.0013%,0.0015%,17.31%,-55.94%,47.68,SIM_THIN_4MAN,NO_ODDS
3689,Tampa Bay Rays @ Toronto Blue Jays,3,Vladimir Guerrero Jr. + Ernie Clement + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.76,5.90%,16.74%,0.0177%,0.0210%,18.34%,-48.68%,47.67,SIM_THIN_3MAN,NO_ODDS
3690,Tampa Bay Rays @ Toronto Blue Jays,4,Daulton Varsho + Andrés Giménez + Tyler Heineman + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.58,5.23%,19.40%,0.0006%,0.0007%,18.37%,-48.32%,47.67,SIM_THIN_4MAN,NO_ODDS
3691,Tampa Bay Rays @ Toronto Blue Jays,3,Jesús Sánchez + Ernie Clement + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.87,5.79%,16.41%,0.0181%,0.0214%,18.39%,-46.03%,47.66,SIM_THIN_3MAN,NO_ODDS
3692,Tampa Bay Rays @ Toronto Blue Jays,4,Daulton Varsho + Andrés Giménez + Jonathan Aranda + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.93,5.70%,20.96%,0.0009%,0.0011%,17.91%,-52.14%,47.64,SIM_THIN_4MAN,NO_ODDS
3693,San Francisco Giants @ Los Angeles Dodgers,4,Mookie Betts + Heliot Ramos + Rafael Devers + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.05,7.13%,25.67%,0.0023%,0.0027%,16.46%,-53.10%,47.64,SIM_THIN_4MAN,NO_ODDS
3694,Tampa Bay Rays @ Toronto Blue Jays,3,Andrés Giménez + Ernie Clement + Junior Caminero,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.32,5.93%,16.81%,0.0183%,0.0216%,18.28%,-45.82%,47.63,SIM_THIN_3MAN,NO_ODDS
3695,Tampa Bay Rays @ Toronto Blue Jays,4,George Springer + Junior Caminero + Jonathan Aranda + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.65,6.38%,23.27%,0.0013%,0.0015%,17.28%,-56.27%,47.62,SIM_THIN_4MAN,NO_ODDS
3696,Tampa Bay Rays @ Toronto Blue Jays,4,George Springer + Andrés Giménez + Tyler Heineman + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.52,5.23%,19.40%,0.0006%,0.0007%,18.34%,-48.66%,47.61,SIM_THIN_4MAN,NO_ODDS
3697,Tampa Bay Rays @ Toronto Blue Jays,4,George Springer + Andrés Giménez + Jonathan Aranda + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.87,5.70%,20.96%,0.0009%,0.0011%,17.89%,-52.48%,47.58,SIM_THIN_4MAN,NO_ODDS
3698,Tampa Bay Rays @ Toronto Blue Jays,4,Ernie Clement + Tyler Heineman + Junior Caminero + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.29,5.73%,21.09%,0.0009%,0.0011%,17.79%,-47.17%,47.58,SIM_THIN_4MAN,NO_ODDS
3699,Tampa Bay Rays @ Toronto Blue Jays,3,Vladimir Guerrero Jr. + Tyler Heineman + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.48,5.91%,16.76%,0.0178%,0.0211%,18.27%,-47.40%,47.56,SIM_THIN_3MAN,NO_ODDS
3700,Tampa Bay Rays @ Toronto Blue Jays,3,Jesús Sánchez + Tyler Heineman + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.60,5.80%,16.42%,0.0182%,0.0215%,18.31%,-44.75%,47.55,SIM_THIN_3MAN,NO_ODDS
3701,Tampa Bay Rays @ Toronto Blue Jays,4,Daulton Varsho + Ernie Clement + Tyler Heineman + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.49,5.18%,19.24%,0.0006%,0.0007%,18.35%,-47.95%,47.54,SIM_THIN_4MAN,NO_ODDS
3702,San Francisco Giants @ Los Angeles Dodgers,4,Kyle Tucker + Casey Schmitt + Rafael Devers + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.24,6.96%,25.10%,0.0021%,0.0025%,16.55%,-51.41%,47.54,SIM_THIN_4MAN,NO_ODDS
3703,Tampa Bay Rays @ Toronto Blue Jays,3,Andrés Giménez + Tyler Heineman + Junior Caminero,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.04,5.94%,16.83%,0.0183%,0.0217%,18.21%,-44.55%,47.52,SIM_THIN_3MAN,NO_ODDS
3704,Tampa Bay Rays @ Toronto Blue Jays,4,Daulton Varsho + Ernie Clement + Jonathan Aranda + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.84,5.65%,20.81%,0.0009%,0.0011%,17.89%,-51.77%,47.52,SIM_THIN_4MAN,NO_ODDS
3705,San Francisco Giants @ Los Angeles Dodgers,3,Will Smith + Rafael Devers + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.56,7.58%,21.15%,0.0360%,0.0420%,16.71%,-50.67%,47.50,SIM_THIN_3MAN,NO_ODDS
3706,San Francisco Giants @ Los Angeles Dodgers,2,Mookie Betts + Rafael Devers,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.82,7.99%,15.35%,0.6245%,0.7298%,16.86%,-56.24%,47.49,SIM_THIN_2MAN,NO_ODDS
3707,Tampa Bay Rays @ Toronto Blue Jays,4,George Springer + Ernie Clement + Tyler Heineman + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.43,5.19%,19.25%,0.0006%,0.0007%,18.32%,-48.29%,47.48,SIM_THIN_4MAN,NO_ODDS
3708,Tampa Bay Rays @ Toronto Blue Jays,3,Daulton Varsho + Andrés Giménez + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.78,5.83%,16.53%,0.0176%,0.0208%,18.35%,-50.68%,47.47,SIM_THIN_3MAN,NO_ODDS
3709,Tampa Bay Rays @ Toronto Blue Jays,4,George Springer + Ernie Clement + Jonathan Aranda + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.78,5.65%,20.82%,0.0009%,0.0011%,17.86%,-52.11%,47.45,SIM_THIN_4MAN,NO_ODDS
3710,Tampa Bay Rays @ Toronto Blue Jays,4,Daulton Varsho + Tyler Heineman + Jonathan Aranda + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.64,5.66%,20.82%,0.0009%,0.0011%,17.84%,-50.82%,47.44,SIM_THIN_4MAN,NO_ODDS
3711,San Francisco Giants @ Los Angeles Dodgers,4,Kyle Tucker + Heliot Ramos + Rafael Devers + Harrison Bader,Los Angeles Dodgers / San Francisco Giants,Robbie Ray / Shohei Ohtani,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,43.21,6.91%,24.94%,0.0021%,0.0024%,16.54%,-51.25%,47.43,SIM_THIN_4MAN,NO_ODDS
3712,Tampa Bay Rays @ Toronto Blue Jays,4,Jesús Sánchez + Andrés Giménez + Ernie Clement + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.76,5.04%,18.75%,0.0005%,0.0006%,18.39%,-47.20%,47.42,SIM_THIN_4MAN,NO_ODDS
3713,Tampa Bay Rays @ Toronto Blue Jays,2,Jesús Sánchez + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.56,6.42%,12.44%,0.3996%,0.4720%,18.11%,-48.50%,47.39,SIM_THIN_2MAN,NO_ODDS
3714,Tampa Bay Rays @ Toronto Blue Jays,3,George Springer + Andrés Giménez + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,46.70,5.83%,16.54%,0.0176%,0.0208%,18.31%,-51.13%,47.38,SIM_THIN_3MAN,NO_ODDS
3715,Tampa Bay Rays @ Toronto Blue Jays,4,Vladimir Guerrero Jr. + Junior Caminero + Yandy Díaz + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,44.60,6.29%,22.97%,0.0011%,0.0013%,17.24%,-55.84%,47.38,SIM_THIN_4MAN,NO_ODDS
3716,Tampa Bay Rays @ Toronto Blue Jays,3,Ernie Clement + Tyler Heineman + Junior Caminero,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,45.93,5.88%,16.67%,0.0176%,0.0209%,18.18%,-44.05%,47.37,SIM_THIN_3MAN,NO_ODDS
