rank,game,stack_size,players,teams,pitcher,stack_type,simulation_stack_type,base_stack_score,avg_player_hr_probability,simulated_any_hr_probability,simulated_all_hr_probability,adjusted_all_hr_probability,correlation_boost,avg_ev_percent,simulation_stack_score,simulation_stack_grade,payout_profile
1044,Chicago Cubs @ Atlanta Braves,4,Ian Happ + Seiya Suzuki + Nico Hoerner + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.40,10.40%,35.71%,0.0091%,0.0109%,19.51%,-34.73%,60.60,SIM_THIN_4MAN,NO_ODDS
1045,Arizona Diamondbacks @ Texas Rangers,4,Corbin Carroll + Josh Jung + Evan Carter + Ezequiel Duran,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.63,9.69%,33.53%,0.0082%,0.0099%,20.04%,-28.08%,60.59,SIM_THIN_4MAN,NO_ODDS
1046,Arizona Diamondbacks @ Texas Rangers,4,Corey Seager + Josh Jung + Gabriel Moreno + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.63,9.66%,33.52%,0.0073%,0.0088%,20.04%,-27.26%,60.58,SIM_THIN_4MAN,NO_ODDS
1047,Arizona Diamondbacks @ Texas Rangers,4,Ketel Marte + Josh Jung + Evan Carter + Adrian Del Castillo,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.52,9.79%,33.81%,0.0089%,0.0106%,19.99%,-30.37%,60.58,SIM_THIN_4MAN,NO_ODDS
1048,Tampa Bay Rays @ Toronto Blue Jays,3,Kazuma Okamoto + Vladimir Guerrero Jr. + Daulton Varsho,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.58,10.26%,27.81%,0.0991%,0.1189%,20.01%,-41.35%,60.57,SIM_THIN_3MAN,NO_ODDS
1049,Chicago Cubs @ Atlanta Braves,4,Moisés Ballesteros + Michael Busch + Alex Bregman + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.85,10.20%,35.00%,0.0105%,0.0126%,19.64%,-33.23%,60.56,SIM_THIN_4MAN,NO_ODDS
1050,Chicago Cubs @ Atlanta Braves,4,Moisés Ballesteros + Dansby Swanson + Michael Busch + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.82,10.19%,34.98%,0.0104%,0.0124%,19.64%,-32.78%,60.56,SIM_THIN_4MAN,NO_ODDS
1051,Arizona Diamondbacks @ Texas Rangers,4,Corbin Carroll + Josh Jung + Gabriel Moreno + Adrian Del Castillo,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.48,9.70%,33.54%,0.0083%,0.0100%,19.99%,-26.14%,60.55,SIM_THIN_4MAN,NO_ODDS
1052,Chicago Cubs @ Atlanta Braves,4,Ian Happ + Dansby Swanson + Alex Bregman + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.83,10.24%,35.17%,0.0100%,0.0120%,19.63%,-35.09%,60.55,SIM_THIN_4MAN,NO_ODDS
1053,Chicago Cubs @ Atlanta Braves,4,Seiya Suzuki + Pete Crow-Armstrong + Alex Bregman + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.74,10.39%,35.54%,0.0115%,0.0137%,19.57%,-39.50%,60.55,SIM_THIN_4MAN,NO_ODDS
