player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books,source
Juan Soto,juan soto,JUAN_SOTO_1_MLB,NEW_YORK_METS_MLB,Detroit Tigers @ New York Mets,aGdkSVb1whCl56ULTR5l,1+ Hit,0.5,-185,betmgm,6,-209,betmgm:-185 | espnbet:-190 | caesars:-205 | draftkings:-208 | fanduel:-230 | bovada:-235,SportsGameOdds
Julio Rodríguez,julio rodríguez,JULIO_RODRIGUEZ_1_MLB,SEATTLE_MARINERS_MLB,Seattle Mariners @ Houston Astros,GLtZ31RmCQ7wT445NXwl,1+ Hit,0.5,-282,draftkings,6,-296,draftkings:-282 | fanduel:-290 | betmgm:-295 | bovada:-300 | espnbet:-300 | caesars:-310,SportsGameOdds
Jung Hoo Lee,jung hoo lee,JUNG_HOO_LEE_1_MLB,SAN_FRANCISCO_GIANTS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,1+ Hit,0.5,-180,espnbet,6,-208,espnbet:-180 | draftkings:-191 | caesars:-200 | betmgm:-200 | bovada:-235 | fanduel:-240,SportsGameOdds
Junior Caminero,junior caminero,JUNIOR_CAMINERO_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-172,draftkings,12,-205,draftkings:-172 | espnbet:-180 | caesars:-182 | fanduel:-195 | bovada:-197 | betmgm:-200 | espnbet:-200 | draftkings:-218 | fanduel:-220 | bovada:-222 | caesars:-225 | betmgm:-250,SportsGameOdds
Kazuma Okamoto,kazuma okamoto,KAZUMA_OKAMOTO_1_MLB,TORONTO_BLUE_JAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-175,betmgm,6,-191,betmgm:-175 | espnbet:-190 | caesars:-193 | fanduel:-195 | draftkings:-196 | bovada:-200,SportsGameOdds
Ke'Bryan Hayes,ke'bryan hayes,KEBRYAN_HAYES_1_MLB,CINCINNATI_REDS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-140,betmgm,6,-163,betmgm:-140 | bovada:-152 | caesars:-159 | espnbet:-165 | draftkings:-179 | fanduel:-185,SportsGameOdds
Keibert Ruiz,keibert ruiz,KEIBERT_RUIZ_1_MLB,WASHINGTON_NATIONALS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-155,betmgm,6,-165,betmgm:-155 | caesars:-164 | espnbet:-165 | draftkings:-168 | fanduel:-170 | bovada:-170,SportsGameOdds
Ketel Marte,ketel marte,KETEL_MARTE_1_MLB,ARIZONA_DIAMONDBACKS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,1+ Hit,0.5,-243,draftkings,6,-268,draftkings:-243 | caesars:-250 | espnbet:-250 | betmgm:-250 | fanduel:-300 | bovada:-315,SportsGameOdds
Kody Clemens,kody clemens,KODY_CLEMENS_1_MLB,MINNESOTA_TWINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-135,betmgm,6,-158,betmgm:-135 | espnbet:-150 | caesars:-164 | bovada:-164 | fanduel:-165 | draftkings:-169,SportsGameOdds
Kyle Karros,kyle karros,KYLE_KARROS_1_MLB,COLORADO_ROCKIES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-135,draftkings,6,-151,draftkings:-135 | caesars:-148 | espnbet:-150 | betmgm:-155 | bovada:-159 | fanduel:-160,SportsGameOdds
