rank,player,team,game,pitcher,odds,consensus_score,composite_sim_score,correlation_score,matchup_score,pitcher_splits_score,per_pitch_score,weather_environment_score,market_score,estimated_plate_appearances,raw_hr_probability,adjusted_hr_probability,no_hr_probability,two_plus_hr_probability,market_implied_probability,model_fair_odds,ev_percent,edge_vs_market,book_tax_estimate,probability_tier,value_label,betting_tier,consensus_decision,consensus_confidence
58,Jake Burger,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,470,63.71,63.02,50.90,61.90,65.90,72.30,52.20,56.00,4.05,10.41%,11.84%,88.16%,0.589%,17.54%,745,-32.53%,-5.71%,5.71%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
59,Colby Thomas,Athletics,St. Louis Cardinals @ Athletics,Matthew Liberatore,430,62.28,60.86,51.60,57.60,59.60,63.70,61.30,66.00,4.05,10.02%,11.79%,88.21%,0.583%,18.87%,748,-37.53%,-7.08%,7.08%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
60,Matt Olson,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,400,64.78,62.44,44.49,55.00,58.10,76.70,57.60,67.00,4.05,9.72%,11.78%,88.22%,0.583%,20.00%,749,-41.12%,-8.22%,8.22%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
61,Riley Greene,Detroit Tigers,Detroit Tigers @ New York Mets,Christian Scott,423,63.17,62.05,45.66,56.70,62.30,74.60,53.70,62.00,4.05,9.92%,11.76%,88.24%,0.581%,19.12%,750,-38.48%,-7.36%,7.36%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
62,Yordan Alvarez,Houston Astros,Seattle Mariners @ Houston Astros,Bryce Miller,285,56.06,55.29,43.50,54.10,56.00,56.40,57.80,59.00,4.05,7.12%,11.64%,88.36%,0.569%,25.97%,759,-55.18%,-14.33%,14.33%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
63,Julio Rodríguez,Seattle Mariners,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,470,63.43,62.43,53.05,63.80,66.40,63.90,57.80,56.00,4.05,10.12%,11.60%,88.40%,0.565%,17.54%,762,-33.87%,-5.94%,5.94%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
64,Will Smith,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,420,62.38,61.34,47.09,56.00,60.50,74.00,55.60,60.00,4.05,9.62%,11.54%,88.46%,0.559%,19.23%,766,-39.98%,-7.69%,7.69%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
65,Spencer Torkelson,Detroit Tigers,Detroit Tigers @ New York Mets,Christian Scott,500,62.76,61.56,45.45,57.30,60.70,73.70,53.70,62.00,4.05,9.71%,11.10%,88.90%,0.518%,16.67%,801,-33.38%,-5.56%,5.56%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
66,Andy Pages,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,490,61.98,61.06,47.16,54.70,59.20,75.60,55.60,60.00,4.05,9.50%,10.99%,89.01%,0.507%,16.95%,810,-35.16%,-5.96%,5.96%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
67,Teoscar Hernández,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,440,60.53,59.40,46.44,54.20,57.60,70.60,55.60,60.00,4.05,8.80%,10.74%,89.26%,0.485%,18.52%,831,-42.00%,-7.78%,7.78%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
68,Salvador Perez,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,430,59.99,59.12,48.83,57.20,59.50,67.60,51.50,56.00,4.05,8.68%,10.71%,89.29%,0.482%,18.87%,833,-43.22%,-8.15%,8.15%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
69,Freddie Freeman,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,520,62.26,61.30,47.40,55.50,59.50,75.40,55.60,60.00,4.05,9.20%,10.31%,89.69%,0.446%,16.13%,870,-36.08%,-5.82%,5.82%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
70,Michael Harris II,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,590,63.22,62.21,44.61,52.90,60.30,79.10,57.60,64.00,4.05,9.21%,10.05%,89.95%,0.424%,14.49%,895,-30.64%,-4.44%,4.44%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
71,Josh Naylor,Seattle Mariners,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,567,60.99,61.02,52.80,60.70,65.80,63.30,57.80,56.00,4.05,9.08%,10.03%,89.97%,0.422%,14.99%,897,-33.10%,-4.96%,4.96%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
72,Austin Riley,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,441,59.22,58.26,43.36,48.30,52.20,75.80,57.60,64.00,4.05,7.91%,10.02%,89.98%,0.422%,18.48%,898,-45.77%,-8.46%,8.46%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
73,Josh Jung,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,550,61.38,60.71,50.97,57.70,62.80,69.50,52.20,56.00,4.05,8.95%,9.98%,90.02%,0.418%,15.38%,902,-35.12%,-5.40%,5.40%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
74,Alex Bregman,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,576,61.34,60.91,51.37,59.30,64.50,61.30,57.60,64.00,4.05,9.04%,9.96%,90.04%,0.416%,14.79%,904,-32.69%,-4.84%,4.84%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
75,Dillon Dingler,Detroit Tigers,Detroit Tigers @ New York Mets,Christian Scott,525,61.33,59.99,45.57,56.10,59.70,68.80,53.70,62.00,4.05,8.65%,9.82%,90.18%,0.405%,16.00%,918,-38.60%,-6.18%,6.18%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
76,Christian Walker,Houston Astros,Seattle Mariners @ Houston Astros,Bryce Miller,350,51.34,50.76,41.96,49.40,47.60,51.50,57.80,59.00,3.93,5.86%,9.79%,90.21%,0.402%,22.22%,922,-55.95%,-12.43%,12.43%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
