game,stack_type,stack_size,players,teams,pitcher,payout_profile,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,stack_score,combined_implied_probability,adjusted_probability,correlation_synergy_boost,parlay_score,parlay_grade,confidence,risk_profile,odds
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Owen Caissie + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.63,34.00,81.12,41.18,55.64,0.0207%,0.0296%,42.72%,53.12,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Owen Caissie | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Xavier Edwards + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.63,34.00,81.11,41.19,55.64,0.0207%,0.0296%,42.71%,53.12,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Xavier Edwards | Christopher Morel
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Xavier Edwards + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.65,34.00,80.89,41.44,55.64,0.0207%,0.0296%,42.67%,53.12,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Xavier Edwards | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Otto Lopez + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.56,34.00,81.63,40.59,55.64,1.4400%,2.0564%,42.80%,53.11,C,LOW,HIGH_RISK,Otto Lopez | Christopher Morel
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Otto Lopez + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.61,34.00,81.18,41.08,55.63,1.4400%,2.0552%,42.72%,53.11,C,LOW,HIGH_RISK,Otto Lopez | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Kyle Stowers + Liam Hicks + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.61,34.00,81.18,41.08,55.63,0.1728%,0.2466%,42.72%,53.11,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Liam Hicks + Owen Caissie + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.64,34.00,80.87,41.42,55.63,0.1728%,0.2465%,42.67%,53.11,C,LOW,HIGH_RISK,Liam Hicks | Owen Caissie | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Kyle Stowers + Liam Hicks + Owen Caissie + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.61,34.00,81.20,41.06,55.63,0.0207%,0.0296%,42.73%,53.11,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Owen Caissie | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Kyle Stowers + Liam Hicks + Xavier Edwards + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.63,34.00,80.97,41.32,55.63,0.0207%,0.0296%,42.68%,53.11,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Xavier Edwards | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Heriberto Hernández + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.57,34.00,81.48,40.71,55.63,0.0207%,0.0296%,42.78%,53.10,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Heriberto Hernández | Christopher Morel
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Heriberto Hernández + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.59,34.00,81.26,40.96,55.63,0.0207%,0.0296%,42.73%,53.10,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Heriberto Hernández | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Xavier Edwards + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.59,34.00,81.26,40.95,55.62,0.1728%,0.2466%,42.73%,53.10,C,LOW,HIGH_RISK,Otto Lopez | Xavier Edwards | Christopher Morel
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Otto Lopez + Xavier Edwards + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.62,34.00,80.96,41.28,55.62,0.1728%,0.2465%,42.68%,53.10,C,LOW,HIGH_RISK,Otto Lopez | Xavier Edwards | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Kyle Stowers + Liam Hicks + Owen Caissie + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.59,34.00,81.24,40.97,55.62,0.0207%,0.0296%,42.73%,53.10,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Owen Caissie | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Kyle Stowers + Liam Hicks + Xavier Edwards + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.61,34.00,81.01,41.23,55.62,0.0207%,0.0296%,42.69%,53.10,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Xavier Edwards | Connor Norby
