rank,player,team,game,odds,book,score,tier,trend,pitcher,pitcher_attack,park,park_label,weather,trusted_books,odds_quality
136,Jake Bauers,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,+800,BetMGM,26.09,LONGSHOT,NO_MATCH,Michael King,AVOID,American Family Field,BOOST,,,
137,Christian Yelich,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,+790,FanDuel,26.09,LONGSHOT,NO_MATCH,Michael King,AVOID,American Family Field,BOOST,,,
138,Jackson Chourio,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,+725,BetMGM,26.09,LONGSHOT,NO_MATCH,Michael King,AVOID,American Family Field,BOOST,,,
139,Xander Bogaerts,San Diego Padres,San Diego Padres @ Milwaukee Brewers,+720,DraftKings,26.09,LONGSHOT,NO_MATCH,Jacob Misiorowski,AVOID,American Family Field,BOOST,,,
140,Brice Turang,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,+680,FanDuel,26.09,LONGSHOT,NO_MATCH,Michael King,AVOID,American Family Field,BOOST,,,
141,Gavin Sheets,San Diego Padres,San Diego Padres @ Milwaukee Brewers,+590,FanDuel,26.09,LONGSHOT,NO_MATCH,Jacob Misiorowski,AVOID,American Family Field,BOOST,,,
142,Ramón Laureano,San Diego Padres,San Diego Padres @ Milwaukee Brewers,+575,BetMGM,26.09,LONGSHOT,NO_MATCH,Jacob Misiorowski,AVOID,American Family Field,BOOST,,,
143,Jackson Merrill,San Diego Padres,San Diego Padres @ Milwaukee Brewers,+568,DraftKings,26.09,LONGSHOT,NO_MATCH,Jacob Misiorowski,AVOID,American Family Field,BOOST,,,
144,Manny Machado,San Diego Padres,San Diego Padres @ Milwaukee Brewers,+556,DraftKings,26.09,LONGSHOT,NO_MATCH,Jacob Misiorowski,AVOID,American Family Field,BOOST,,,
145,Fernando Tatis Jr.,San Diego Padres,San Diego Padres @ Milwaukee Brewers,+502,DraftKings,26.09,LONGSHOT,NO_MATCH,Jacob Misiorowski,AVOID,American Family Field,BOOST,,,
146,Andrés Giménez,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,+1120,DraftKings,26.06,LONGSHOT,NO_MATCH,Griffin Jax,LIVE,Rogers Centre,BOOST,,,
147,Trea Turner,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,+820,DraftKings,26.05,LONGSHOT,NO_MATCH,Sonny Gray,NEUTRAL,Fenway Park,NEUTRAL,,,
148,Adolis García,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,+561,DraftKings,26.05,LONGSHOT,NO_MATCH,Sonny Gray,NEUTRAL,Fenway Park,NEUTRAL,,,
149,Bryce Harper,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,+490,FanDuel,26.05,LONGSHOT,NO_MATCH,Sonny Gray,NEUTRAL,Fenway Park,NEUTRAL,,,
150,Kyle Schwarber,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,+250,BetMGM,26.05,LONGSHOT,NO_MATCH,Sonny Gray,NEUTRAL,Fenway Park,NEUTRAL,,,
151,Harrison Bader,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,+900,BetMGM,25.60,LONGSHOT,NO_MATCH,Shohei Ohtani,AVOID,Dodger Stadium,SLIGHT_BOOST,,,
152,Matt Chapman,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,+790,FanDuel,25.60,LONGSHOT,NO_MATCH,Shohei Ohtani,AVOID,Dodger Stadium,SLIGHT_BOOST,,,
153,Willy Adames,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,+720,DraftKings,25.60,LONGSHOT,NO_MATCH,Shohei Ohtani,AVOID,Dodger Stadium,SLIGHT_BOOST,,,
154,Heliot Ramos,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,+575,DraftKings,25.60,LONGSHOT,NO_MATCH,Shohei Ohtani,AVOID,Dodger Stadium,SLIGHT_BOOST,,,
155,Casey Schmitt,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,+550,BetMGM,25.60,LONGSHOT,NO_MATCH,Shohei Ohtani,AVOID,Dodger Stadium,SLIGHT_BOOST,,,
156,Rafael Devers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,+525,DraftKings,25.60,LONGSHOT,NO_MATCH,Shohei Ohtani,AVOID,Dodger Stadium,SLIGHT_BOOST,,,
157,Brooks Lee,Minnesota Twins,Miami Marlins @ Minnesota Twins,+880,FanDuel,25.44,LONGSHOT,NO_MATCH,Max Meyer,AVOID,Target Field,NEUTRAL,,,
158,Trevor Larnach,Minnesota Twins,Miami Marlins @ Minnesota Twins,+725,BetMGM,25.44,LONGSHOT,NO_MATCH,Max Meyer,AVOID,Target Field,NEUTRAL,,,
159,Josh Bell,Minnesota Twins,Miami Marlins @ Minnesota Twins,+700,BetMGM,25.44,LONGSHOT,NO_MATCH,Max Meyer,AVOID,Target Field,NEUTRAL,,,
160,Royce Lewis,Minnesota Twins,Miami Marlins @ Minnesota Twins,+650,BetMGM,25.44,LONGSHOT,NO_MATCH,Max Meyer,AVOID,Target Field,NEUTRAL,,,
161,Kody Clemens,Minnesota Twins,Miami Marlins @ Minnesota Twins,+625,BetMGM,25.44,LONGSHOT,NO_MATCH,Max Meyer,AVOID,Target Field,NEUTRAL,,,
162,Ryan Jeffers,Minnesota Twins,Miami Marlins @ Minnesota Twins,+600,BetMGM,25.44,LONGSHOT,NO_MATCH,Max Meyer,AVOID,Target Field,NEUTRAL,,,
163,Byron Buxton,Minnesota Twins,Miami Marlins @ Minnesota Twins,+330,DraftKings,25.44,LONGSHOT,NO_MATCH,Max Meyer,AVOID,Target Field,NEUTRAL,,,
164,J.T. Realmuto,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,+980,FanDuel,25.41,LONGSHOT,NO_MATCH,Sonny Gray,NEUTRAL,Fenway Park,NEUTRAL,,,
165,Jake Fraley,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+940,DraftKings,25.25,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
166,Yandy Díaz,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+770,DraftKings,25.25,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
167,Jonathan Aranda,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+720,DraftKings,25.25,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
168,Garrett Mitchell,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,+1000,BetMGM,25.00,LONGSHOT,NO_MATCH,Michael King,AVOID,American Family Field,BOOST,,,
169,Sung-Mun Song,San Diego Padres,San Diego Padres @ Milwaukee Brewers,+1000,BetMGM,25.00,LONGSHOT,NO_MATCH,Jacob Misiorowski,AVOID,American Family Field,BOOST,,,
170,Mauricio Dubón,Atlanta Braves,Chicago Cubs @ Atlanta Braves,+890,DraftKings,24.92,LONGSHOT,NO_MATCH,Shota Imanaga,AVOID,Truist Park,SLIGHT_BOOST,,,
171,Ha-Seong Kim,Atlanta Braves,Chicago Cubs @ Atlanta Braves,+680,DraftKings,24.92,LONGSHOT,NO_MATCH,Shota Imanaga,AVOID,Truist Park,SLIGHT_BOOST,,,
172,Mike Yastrzemski,Atlanta Braves,Chicago Cubs @ Atlanta Braves,+620,DraftKings,24.92,LONGSHOT,NO_MATCH,Shota Imanaga,AVOID,Truist Park,SLIGHT_BOOST,,,
173,Michael Harris II,Atlanta Braves,Chicago Cubs @ Atlanta Braves,+590,DraftKings,24.92,LONGSHOT,NO_MATCH,Shota Imanaga,AVOID,Truist Park,SLIGHT_BOOST,,,
174,Drake Baldwin,Atlanta Braves,Chicago Cubs @ Atlanta Braves,+525,DraftKings,24.92,LONGSHOT,NO_MATCH,Shota Imanaga,AVOID,Truist Park,SLIGHT_BOOST,,,
175,Ozzie Albies,Atlanta Braves,Chicago Cubs @ Atlanta Braves,+518,DraftKings,24.92,LONGSHOT,NO_MATCH,Shota Imanaga,AVOID,Truist Park,SLIGHT_BOOST,,,
176,Austin Riley,Atlanta Braves,Chicago Cubs @ Atlanta Braves,+441,DraftKings,24.92,LONGSHOT,NO_MATCH,Shota Imanaga,AVOID,Truist Park,SLIGHT_BOOST,,,
177,Matt Olson,Atlanta Braves,Chicago Cubs @ Atlanta Braves,+400,DraftKings,24.92,LONGSHOT,NO_MATCH,Shota Imanaga,AVOID,Truist Park,SLIGHT_BOOST,,,
178,Brett Baty,New York Mets,Detroit Tigers @ New York Mets,+1040,FanDuel,24.89,LONGSHOT,NO_MATCH,Framber Valdez,LIVE,Citi Field,NEUTRAL,,,
179,Jorge Mateo,Atlanta Braves,Chicago Cubs @ Atlanta Braves,+960,DraftKings,24.73,LONGSHOT,NO_MATCH,Shota Imanaga,AVOID,Truist Park,SLIGHT_BOOST,,,
180,Alejandro Osuna,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,+1220,DraftKings,24.70,LONGSHOT,NO_MATCH,Ryne Nelson,LIVE,Globe Life Field,SLIGHT_BOOST,,,
181,Ernie Clement,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,+1200,DraftKings,24.70,LONGSHOT,NO_MATCH,Griffin Jax,LIVE,Rogers Centre,BOOST,,,
182,Vidal Bruján,New York Mets,Detroit Tigers @ New York Mets,+1050,BetMGM,24.70,LONGSHOT,NO_MATCH,Framber Valdez,LIVE,Citi Field,NEUTRAL,,,
183,Cedric Mullins,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+980,FanDuel,24.61,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
184,Nico Hoerner,Chicago Cubs,Chicago Cubs @ Atlanta Braves,+1280,DraftKings,24.55,LONGSHOT,NO_MATCH,JR Ritchie,ATTACK,Truist Park,SLIGHT_BOOST,,,
185,Edmundo Sosa,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,+1020,DraftKings,24.54,LONGSHOT,NO_MATCH,Sonny Gray,NEUTRAL,Fenway Park,NEUTRAL,,,
186,Jonny DeLuca,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+990,DraftKings,24.37,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
187,Nick Gonzales,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+1080,DraftKings,24.35,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
188,Freddy Fermin,San Diego Padres,San Diego Padres @ Milwaukee Brewers,+1050,BetMGM,23.96,LONGSHOT,NO_MATCH,Jacob Misiorowski,AVOID,American Family Field,BOOST,,,
189,Troy Johnston,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,+900,BetMGM,23.94,LONGSHOT,NO_MATCH,Mitch Keller,AVOID,PNC Park,SUPPRESSOR,,,
190,Willi Castro,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,+900,BetMGM,23.94,LONGSHOT,NO_MATCH,Mitch Keller,AVOID,PNC Park,SUPPRESSOR,,,
191,Edouard Julien,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,+830,DraftKings,23.94,LONGSHOT,NO_MATCH,Mitch Keller,AVOID,PNC Park,SUPPRESSOR,,,
192,Hunter Goodman,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,+407,DraftKings,23.94,LONGSHOT,NO_MATCH,Mitch Keller,AVOID,PNC Park,SUPPRESSOR,,,
193,Mickey Moniak,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,+404,DraftKings,23.94,LONGSHOT,NO_MATCH,Mitch Keller,AVOID,PNC Park,SUPPRESSOR,,,
194,Brandon Marsh,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,+1060,DraftKings,23.71,LONGSHOT,NO_MATCH,Sonny Gray,NEUTRAL,Fenway Park,NEUTRAL,,,
195,Wenceel Pérez,Detroit Tigers,Detroit Tigers @ New York Mets,+800,BetMGM,23.68,LONGSHOT,NO_MATCH,Christian Scott,AVOID,Citi Field,NEUTRAL,,,
196,Matt Vierling,Detroit Tigers,Detroit Tigers @ New York Mets,+760,DraftKings,23.68,LONGSHOT,NO_MATCH,Christian Scott,AVOID,Citi Field,NEUTRAL,,,
197,Colt Keith,Detroit Tigers,Detroit Tigers @ New York Mets,+680,DraftKings,23.68,LONGSHOT,NO_MATCH,Christian Scott,AVOID,Citi Field,NEUTRAL,,,
198,Dillon Dingler,Detroit Tigers,Detroit Tigers @ New York Mets,+525,BetMGM,23.68,LONGSHOT,NO_MATCH,Christian Scott,AVOID,Citi Field,NEUTRAL,,,
199,Spencer Torkelson,Detroit Tigers,Detroit Tigers @ New York Mets,+500,BetMGM,23.68,LONGSHOT,NO_MATCH,Christian Scott,AVOID,Citi Field,NEUTRAL,,,
200,Riley Greene,Detroit Tigers,Detroit Tigers @ New York Mets,+423,DraftKings,23.68,LONGSHOT,NO_MATCH,Christian Scott,AVOID,Citi Field,NEUTRAL,,,
201,Tyler Heineman,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,+1280,DraftKings,23.54,LONGSHOT,NO_MATCH,Griffin Jax,LIVE,Rogers Centre,BOOST,,,
202,Jacob Young,Washington Nationals,Washington Nationals @ Cincinnati Reds,+1600,FanDuel,23.38,LONGSHOT,NO_MATCH,Nick Lodolo,ATTACK,Great American Ball Park,POWER_BOOST,,,
203,Ezequiel Tovar,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,+980,FanDuel,23.30,LONGSHOT,NO_MATCH,Mitch Keller,AVOID,PNC Park,SUPPRESSOR,,,
204,Junior Caminero,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+440,FanDuel,22.97,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
205,Ryan Vilade,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+1060,DraftKings,22.91,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
206,Jung Hoo Lee,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,+1080,DraftKings,22.87,LONGSHOT,NO_MATCH,Shohei Ohtani,AVOID,Dodger Stadium,SLIGHT_BOOST,,,
207,Alec Bohm,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,+1120,DraftKings,22.60,LONGSHOT,NO_MATCH,Sonny Gray,NEUTRAL,Fenway Park,NEUTRAL,,,
208,Jared Triolo,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+1200,BetMGM,22.28,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
209,Nick Fortes,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+1100,DraftKings,22.14,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
210,Bryson Stott,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,+1160,DraftKings,21.91,LONGSHOT,NO_MATCH,Sonny Gray,NEUTRAL,Fenway Park,NEUTRAL,,,
211,Chase Meidroth,Chicago White Sox,Kansas City Royals @ Chicago White Sox,+1200,BetMGM,21.76,LONGSHOT,NO_MATCH,Seth Lugo,AVOID,Rate Field,BOOST,,,
212,Jesus Rodriguez,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,+1220,DraftKings,20.50,LONGSHOT,NO_MATCH,Shohei Ohtani,AVOID,Dodger Stadium,SLIGHT_BOOST,,,
213,Masyn Winn,St. Louis Cardinals,St. Louis Cardinals @ Athletics,+1450,BetMGM,20.40,LONGSHOT,NO_MATCH,J.T. Ginn,NEUTRAL,Sutter Health Park,NEUTRAL,,,
214,Jake McCarthy,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,+1200,FanDuel,19.13,LONGSHOT,NO_MATCH,Mitch Keller,AVOID,PNC Park,SUPPRESSOR,,,
215,Ben Williamson,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+1300,Caesars,18.98,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
216,Taylor Walls,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+1300,FanDuel,18.98,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
217,Kyle Karros,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,+1240,DraftKings,18.52,LONGSHOT,NO_MATCH,Mitch Keller,AVOID,PNC Park,SUPPRESSOR,,,
218,Luke Keaschall,Minnesota Twins,Miami Marlins @ Minnesota Twins,+1360,DraftKings,18.40,LONGSHOT,NO_MATCH,Max Meyer,AVOID,Target Field,NEUTRAL,,,
219,Zach McKinstry,Detroit Tigers,Detroit Tigers @ New York Mets,+1260,FanDuel,17.97,LONGSHOT,NO_MATCH,Christian Scott,AVOID,Citi Field,NEUTRAL,,,
220,Luis Rengifo,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,+1500,BetMGM,17.46,LONGSHOT,NO_MATCH,Michael King,AVOID,American Family Field,BOOST,,,
221,Luis Arraez,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,+1500,DraftKings,16.97,LONGSHOT,NO_MATCH,Shohei Ohtani,AVOID,Dodger Stadium,SLIGHT_BOOST,,,
222,David Hamilton,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,+1600,BetMGM,16.47,LONGSHOT,NO_MATCH,Michael King,AVOID,American Family Field,BOOST,,,
223,Victor Scott II,St. Louis Cardinals,St. Louis Cardinals @ Athletics,+2200,BetMGM,14.82,LONGSHOT,NO_MATCH,J.T. Ginn,NEUTRAL,Sutter Health Park,NEUTRAL,,,
224,Tyler Freeman,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,+1560,DraftKings,14.70,LONGSHOT,NO_MATCH,Mitch Keller,AVOID,PNC Park,SUPPRESSOR,,,
225,Austin Martin,Minnesota Twins,Miami Marlins @ Minnesota Twins,+1800,BetMGM,14.18,LONGSHOT,NO_MATCH,Max Meyer,AVOID,Target Field,NEUTRAL,,,
226,Sal Frelick,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,+2000,Caesars,13.50,LONGSHOT,NO_MATCH,Michael King,AVOID,American Family Field,BOOST,,,
227,Chandler Simpson,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,+2200,DraftKings,11.57,LONGSHOT,NO_MATCH,Dylan Cease,AVOID,Rogers Centre,BOOST,,,
